Group,Case,Move,Time,Iteration
1,1,13,3,11
1,2,8,1,5
1,3,2,0,1
1,4,7,1,6
1,5,5,1,4
1,6,8,0,4
1,7,8,1,6
1,8,6,1,4
1,9,11,2,10
1,10,12,2,11
1,11,8,1,6
1,12,10,1,8
1,13,11,1,10
1,14,11,1,8
1,15,9,2,8
1,16,9,2,8
1,17,8,1,4
1,18,7,1,6
1,19,14,2,13
1,20,15,3,14
1,21,15,3,13
1,22,12,2,11
1,23,9,1,6
1,24,12,1,10
1,25,9,2,8
1,26,5,0,3
1,27,8,0,5
1,28,12,1,10
1,29,12,1,11
1,30,10,1,9
1,31,8,1,5
1,32,5,0,4
1,33,7,1,5
1,34,11,1,10
1,35,8,0,5
1,36,9,1,6
1,37,8,1,4
1,38,10,1,7
1,39,0,0,0
1,40,10,2,9
2,1,10,3,7
2,2,7,1,6
2,3,13,2,10
2,4,6,0,4
2,5,11,2,10
2,6,13,4,11
2,7,15,4,14
2,8,9,1,6
2,9,7,2,6
2,10,15,5,13
2,11,11,2,6
2,12,8,1,7
2,13,5,0,4
2,14,8,1,7
2,15,10,2,9
2,16,12,3,10
2,17,7,2,5
2,18,9,2,8
2,19,9,2,5
2,20,8,1,7
2,21,11,2,5
2,22,11,2,8
2,23,7,0,5
2,24,11,2,10
2,25,8,0,4
2,26,8,2,7
2,27,5,1,4
2,28,10,1,4
2,29,14,5,13
2,30,11,2,7
2,31,9,2,7
2,32,8,1,4
2,33,12,5,10
2,34,9,1,5
2,35,9,2,7
2,36,10,1,4
2,37,8,0,5
2,38,7,1,4
2,39,7,0,4
2,40,8,1,5
3,1,10,4,5
3,2,12,4,9
3,3,11,4,9
3,4,6,1,3
3,5,14,9,10
3,6,14,5,7
3,7,7,1,3
3,8,14,8,12
3,9,14,8,13
3,10,9,2,7
3,11,15,8,12
3,12,12,1,6
3,13,17,13,15
3,14,7,3,5
3,15,13,6,6
3,16,9,1,3
3,17,12,3,9
3,18,8,3,7
3,19,10,1,4
3,20,13,4,9
3,21,9,2,5
3,22,10,2,6
3,23,10,3,9
3,24,10,3,5
3,25,9,4,8
3,26,10,2,6
3,27,10,3,4
3,28,10,3,6
3,29,12,4,8
3,30,7,3,4
3,31,13,3,8
3,32,9,2,8
3,33,10,4,9
3,34,8,1,6
3,35,10,2,7
3,36,10,3,6
3,37,15,9,13
3,38,5,1,4
3,39,9,3,8
3,40,10,5,9
4,1,13,13,11
4,2,10,6,7
4,3,12,9,7
4,4,10,10,9
4,5,7,2,4
4,6,13,15,10
4,7,16,15,14
4,8,13,6,9
4,9,12,9,8
4,10,9,7,5
4,11,4,0,0
4,12,11,7,8
4,13,10,7,7
4,14,12,11,6
4,15,11,13,10
4,16,16,23,14
4,17,14,9,9
4,18,12,10,10
4,19,12,4,7
4,20,10,5,5
4,21,15,9,8
4,22,13,10,9
4,23,15,9,9
4,24,16,19,11
4,25,9,2,4
4,26,18,22,16
4,27,13,5,7
4,28,9,4,6
4,29,10,4,8
4,30,13,10,11
4,31,11,4,6
4,32,10,4,7
4,33,12,6,8
4,34,12,12,11
4,35,7,2,5
4,36,11,7,8
4,37,11,30,7
4,38,14,9,8
4,39,12,6,7
4,40,11,6,10
5,1,9,4,6
5,2,13,4,8
5,3,14,20,13
5,4,13,7,5
5,5,16,25,11
5,6,14,11,8
5,7,17,32,16
5,8,12,14,11
5,9,13,15,9
5,10,11,12,5
5,11,12,8,7
5,12,13,32,10
5,13,11,4,4
5,14,14,12,9
5,15,10,4,7
5,16,14,17,9
5,17,16,27,12
5,18,14,22,13
5,19,15,33,12
5,20,13,42,11
5,21,13,11,11
5,22,18,19,12
5,23,11,4,6
5,24,8,6,6
5,25,13,14,11
5,26,14,8,4
5,27,16,21,10
5,28,14,37,13
5,29,17,29,13
5,30,15,22,14
5,31,10,11,6
5,32,11,13,9
5,33,16,21,9
5,34,11,15,7
5,35,16,36,13
5,36,12,17,10
5,37,11,4,3
5,38,14,17,12
5,39,9,3,6
5,40,13,9,8
6,1,10,16,5
6,2,14,23,10
6,3,15,26,8
6,4,15,57,12
6,5,17,39,12
6,6,10,4,6
6,7,19,66,18
6,8,16,31,13
6,9,12,15,9
6,10,16,17,8
6,11,12,9,6
6,12,14,13,9
6,13,15,34,11
6,14,15,44,13
6,15,12,13,6
6,16,13,14,6
6,17,13,20,10
6,18,11,8,5
6,19,15,48,12
6,20,15,35,12
6,21,15,46,11
6,22,14,53,13
6,23,12,11,9
6,24,13,20,6
6,25,15,35,14
6,26,18,30,9
6,27,8,11,7
6,28,15,24,11
6,29,17,24,10
6,30,13,18,8
6,31,14,18,10
6,32,15,23,12
6,33,12,7,7
6,34,13,17,8
6,35,17,38,15
6,36,14,22,9
6,37,12,25,9
6,38,18,66,16
6,39,12,4,5
6,40,15,20,7
7,1,13,5,11
7,2,17,7,16
7,3,22,11,20
7,4,15,7,11
7,5,19,10,18
7,6,10,4,8
7,7,21,8,17
7,8,17,9,15
7,9,7,2,4
7,10,16,5,13
7,11,11,4,9
7,12,19,9,18
7,13,23,13,20
7,14,20,13,18
7,15,15,5,12
7,16,24,13,23
7,17,11,3,5
7,18,23,13,22
7,19,21,11,20
7,20,20,8,16
7,21,17,7,14
7,22,13,6,12
7,23,23,11,20
7,24,19,10,18
7,25,23,11,21
7,26,18,9,16
7,27,23,16,22
7,28,17,7,14
7,29,18,11,16
7,30,19,10,17
7,31,21,11,20
7,32,16,6,13
7,33,21,12,19
7,34,16,6,15
7,35,24,15,23
7,36,17,7,13
7,37,16,6,15
7,38,18,10,17
7,39,16,8,13
7,40,19,11,18
8,1,20,15,13
8,2,20,22,19
8,3,21,18,14
8,4,12,9,11
8,5,18,15,14
8,6,19,15,13
8,7,15,13,14
8,8,22,16,21
8,9,20,8,9
8,10,16,11,15
8,11,15,4,6
8,12,18,19,17
8,13,15,10,14
8,14,21,22,20
8,15,23,29,21
8,16,13,8,11
8,17,24,24,23
8,18,18,18,17
8,19,18,13,12
8,20,20,23,19
8,21,21,26,20
8,22,23,47,20
8,23,22,36,21
8,24,18,20,17
8,25,21,23,20
8,26,21,18,15
