Group,Case,Move,Time,Iteration
1,1,12,8,10
1,2,8,2,6
1,3,2,0,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,6
1,7,8,2,6
1,8,6,1,5
1,9,10,3,9
1,10,12,7,11
1,11,7,2,6
1,12,10,3,8
1,13,11,5,10
1,14,11,6,9
1,15,9,4,8
1,16,9,3,8
1,17,8,1,4
1,18,7,4,6
1,19,14,10,13
1,20,15,11,14
1,21,15,11,14
1,22,12,9,11
1,23,9,2,7
1,24,12,5,10
1,25,9,3,8
1,26,5,1,3
1,27,8,1,6
1,28,12,6,11
1,29,12,5,11
1,30,10,17,9
1,31,8,1,6
1,32,5,1,4
1,33,7,2,6
1,34,11,4,10
1,35,8,2,5
1,36,9,1,7
1,37,8,1,5
1,38,10,2,7
1,39,0,0,0
1,40,10,3,9
2,1,10,6,8
2,2,7,2,6
2,3,13,11,12
2,4,6,1,4
2,5,10,7,6
2,6,12,12,11
2,7,14,14,13
2,8,9,3,6
2,9,7,1,6
2,10,14,19,12
2,11,10,4,5
2,12,8,4,7
2,13,5,0,4
2,14,8,3,7
2,15,10,7,9
2,16,11,5,9
2,17,7,2,5
2,18,9,4,8
2,19,9,4,5
2,20,8,3,7
2,21,11,5,6
2,22,11,2,8
2,23,7,2,5
2,24,11,24,10
2,25,8,0,4
2,26,8,7,7
2,27,5,1,4
2,28,10,5,9
2,29,13,24,12
2,30,11,8,8
2,31,8,5,6
2,32,8,3,4
2,33,12,22,11
2,34,9,3,5
2,35,9,4,7
2,36,10,7,5
2,37,8,2,5
2,38,7,4,4
2,39,7,1,4
2,40,8,5,5
3,1,10,15,6
3,2,12,19,11
3,3,11,6,9
3,4,6,0,3
3,5,14,29,11
3,6,13,25,12
3,7,7,3,3
3,8,14,55,13
3,9,12,30,10
3,10,9,4,7
3,11,15,23,13
3,12,12,6,7
3,13,15,34,13
3,14,7,8,5
3,15,13,29,7
3,16,9,6,5
3,17,12,25,8
3,18,8,12,7
3,19,10,5,5
3,20,13,21,12
3,21,9,8,7
3,22,9,8,6
3,23,10,11,9
3,24,10,12,8
3,25,9,10,8
3,26,10,4,6
3,27,10,6,7
3,28,10,6,6
3,29,11,10,7
3,30,7,3,5
3,31,13,14,8
3,32,8,5,7
3,33,10,15,9
3,34,8,3,6
3,35,10,8,7
3,36,10,11,8
3,37,15,32,13
3,38,5,2,4
3,39,9,12,8
3,40,9,10,8
4,1,13,84,12
4,2,9,11,5
4,3,12,36,8
4,4,9,15,6
4,5,7,3,4
4,6,13,32,10
4,7,15,50,11
4,8,13,23,9
4,9,12,38,9
4,10,9,17,5
4,11,4,1,0
4,12,11,17,10
4,13,10,10,7
4,14,11,20,7
4,15,11,25,10
4,16,15,47,7
4,17,13,7,6
4,18,11,27,10
4,19,12,16,10
4,20,10,15,7
4,21,15,35,12
4,22,12,44,9
4,23,14,31,11
4,24,15,46,10
4,25,9,5,6
4,26,17,105,15
4,27,13,19,9
4,28,9,13,8
4,29,10,14,8
4,30,13,42,11
4,31,11,11,6
4,32,10,17,7
4,33,12,19,10
4,34,12,33,11
4,35,7,3,5
4,36,11,39,10
4,37,11,31,8
4,38,13,41,10
4,39,11,26,8
4,40,11,17,10
5,1,9,6,6
5,2,13,5,8
5,3,14,101,13
5,4,13,54,11
5,5,15,122,8
5,6,14,51,8
5,7,16,107,14
5,8,12,67,11
5,9,13,42,9
5,10,11,66,9
5,11,12,25,7
5,12,13,97,10
5,13,11,15,9
5,14,14,49,10
