Group,Case,Move,Time,Iteration
1,1,13,5,12
1,2,8,1,5
1,3,2,0,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,6
1,7,8,1,6
1,8,6,0,5
1,9,10,2,9
1,10,12,4,11
1,11,8,2,7
1,12,10,2,8
1,13,11,3,10
1,14,11,3,9
1,15,9,2,8
1,16,9,1,8
1,17,8,1,4
1,18,7,2,6
1,19,14,5,13
1,20,15,6,14
1,21,15,6,14
1,22,12,6,11
1,23,9,1,7
1,24,12,4,10
1,25,9,5,8
1,26,5,0,3
1,27,8,1,6
1,28,12,4,11
1,29,12,6,11
1,30,10,3,9
1,31,8,1,6
1,32,5,0,4
1,33,7,2,6
1,34,11,4,10
1,35,8,1,5
1,36,9,1,7
1,37,8,1,5
1,38,10,2,7
1,39,0,0,0
1,40,10,2,9
2,1,10,5,8
2,2,7,2,6
2,3,13,8,12
2,4,6,1,4
2,5,10,8,6
2,6,13,13,12
2,7,14,11,13
2,8,9,3,6
2,9,7,1,6
2,10,14,18,12
2,11,10,2,4
2,12,8,2,7
2,13,5,0,4
2,14,8,2,7
2,15,10,4,9
2,16,11,4,9
2,17,7,3,5
2,18,9,3,8
2,19,9,3,5
2,20,8,2,7
2,21,11,4,6
2,22,11,2,8
2,23,7,1,5
2,24,11,7,10
2,25,8,0,4
2,26,8,4,7
2,27,5,1,4
2,28,10,3,9
2,29,13,14,12
2,30,11,4,8
2,31,9,4,7
2,32,8,2,4
2,33,12,9,11
2,34,9,1,5
2,35,9,3,7
2,36,10,3,5
2,37,8,3,5
2,38,7,2,4
2,39,7,1,4
2,40,8,3,5
3,1,10,9,6
3,2,12,13,11
3,3,11,6,9
3,4,6,0,3
3,5,14,17,11
3,6,13,13,12
3,7,7,2,3
3,8,14,27,13
3,9,12,14,10
3,10,9,3,7
3,11,15,18,13
3,12,12,3,7
3,13,15,27,13
3,14,7,6,5
3,15,13,17,7
3,16,9,3,5
3,17,12,11,8
3,18,8,7,7
3,19,10,3,5
3,20,13,11,12
3,21,9,5,7
3,22,9,7,6
3,23,10,10,9
3,24,10,10,5
3,25,9,9,8
3,26,10,7,6
3,27,10,4,7
3,28,10,6,6
3,29,12,9,8
3,30,7,3,5
3,31,13,10,8
3,32,8,4,7
3,33,10,10,9
3,34,8,2,6
3,35,10,7,7
3,36,10,9,8
3,37,15,21,13
3,38,5,2,4
3,39,9,10,8
3,40,9,8,8
4,1,13,37,12
4,2,10,12,8
4,3,12,29,8
4,4,9,7,5
4,5,7,1,4
4,6,13,25,10
4,7,15,39,11
4,8,13,12,9
4,9,12,18,9
4,10,9,9,5
4,11,4,0,0
4,12,11,15,10
4,13,10,8,7
4,14,11,12,6
4,15,11,20,10
4,16,15,28,7
4,17,13,8,6
4,18,11,17,10
4,19,12,18,10
4,20,10,13,7
4,21,15,23,12
4,22,12,32,9
4,23,14,22,10
4,24,15,32,10
4,25,9,4,6
4,26,17,73,16
4,27,13,17,8
4,28,9,16,8
4,29,10,9,8
4,30,13,31,11
4,31,11,11,6
4,32,10,8,7
4,33,12,18,10
4,34,12,25,11
4,35,7,3,5
4,36,11,22,10
4,37,11,16,8
4,38,13,34,10
4,39,11,22,8
4,40,11,14,10
5,1,9,6,6
5,2,13,5,8
5,3,14,68,13
5,4,13,40,11
5,5,15,50,8
5,6,14,33,8
5,7,16,74,14
5,8,12,38,11
5,9,13,39,9
5,10,11,44,9
5,11,12,21,7
5,12,13,76,10
5,13,11,19,8
5,14,14,39,10
5,15,10,10,7
5,16,13,51,8
5,17,16,99,14
5,18,13,41,12
5,19,15,63,13
5,20,12,84,11
5,21,13,24,11
5,22,18,71,12
5,23,11,8,6
5,24,8,10,6
5,25,13,34,11
5,26,14,26,7
5,27,16,46,10
5,28,14,81,13
5,29,17,76,13
5,30,15,67,14
5,31,10,30,7
5,32,11,33,9
5,33,16,42,10
5,34,10,44,6
5,35,16,68,14
5,36,10,14,7
5,37,11,3,3
5,38,14,55,12
5,39,9,6,6
5,40,13,12,8
6,1,10,33,8
6,2,14,119,13
6,3,15,50,10
6,4,15,91,11
6,5,16,66,11
6,6,10,5,6
6,7,19,199,17
6,8,16,84,14
6,9,12,45,10
6,10,16,76,9
6,11,12,25,6
6,12,14,30,9
6,13,15,60,11
6,14,15,150,13
6,15,11,54,9
6,16,12,66,8
6,17,13,72,12
6,18,11,31,7
6,19,14,143,12
6,20,15,70,12
6,21,15,142,13
6,22,13,96,10
6,23,12,28,11
6,24,13,77,12
6,25,14,84,8
6,26,18,123,12
6,27,8,31,7
6,28,15,84,11
6,29,17,93,13
6,30,13,80,11
6,31,14,71,11
6,32,14,37,7
6,33,12,10,7
6,34,12,29,7
6,35,17,132,15
6,36,13,75,9
6,37,12,69,9
6,38,17,115,16
6,39,12,7,6
6,40,15,83,12
7,1,12,13,10
7,2,17,27,16
7,3,22,43,21
7,4,15,20,14
7,5,18,28,17
7,6,9,11,7
7,7,20,29,18
7,8,17,29,16
7,9,7,3,4
7,10,16,17,14
7,11,10,7,5
7,12,19,32,18
7,13,22,41,21
7,14,19,41,18
7,15,14,15,12
7,16,22,45,21
7,17,11,5,5
7,18,21,43,20
7,19,20,36,19
7,20,19,26,14
7,21,17,19,14
7,22,13,18,12
7,23,23,50,22
7,24,19,49,18
7,25,22,43,21
7,26,18,36,17
7,27,22,50,21
7,28,16,27,15
7,29,16,26,14
7,30,18,32,17
7,31,18,21,15
7,32,15,15,12
7,33,21,50,20
7,34,16,23,15
7,35,22,43,19
7,36,17,22,15
7,37,16,17,15
7,38,18,40,17
7,39,16,27,14
7,40,16,27,13
8,1,19,48,13
8,2,20,72,19
8,3,21,60,14
8,4,12,27,11
8,5,18,50,14
8,6,17,51,14
8,7,15,45,14
8,8,22,65,21
8,9,20,27,9
8,10,16,46,15
8,11,15,14,7
8,12,18,64,17
8,13,15,24,14
8,14,20,66,15
8,15,23,117,22
8,16,13,31,11
8,17,23,88,22
8,18,18,43,17
8,19,19,74,17
8,20,20,85,19
8,21,20,67,17
8,22,22,90,18
8,23,22,103,21
8,24,17,52,15
8,25,21,79,20
8,26,21,69,19
8,27,16,34,13
8,28,16,36,10
8,29,21,71,20
8,30,22,68,17
8,31,21,68,20
8,32,24,91,21
8,33,19,67,18
8,34,22,71,21
8,35,17,54,13
8,36,13,21,12
8,37,17,58,16
8,38,18,46,17
8,39,21,82,20
8,40,18,61,17
9,1,23,164,21
