Group,Case,Move,Time,Iteration
1,1,12,20,10
1,2,8,2,6
1,3,2,0,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,6
1,7,8,2,6
1,8,6,0,5
1,9,10,2,9
1,10,12,5,11
1,11,8,2,7
1,12,10,2,8
1,13,11,4,10
1,14,11,3,9
1,15,9,2,8
1,16,9,2,8
1,17,8,0,4
1,18,7,1,6
1,19,14,6,13
1,20,15,10,14
1,21,15,10,14
1,22,12,8,11
1,23,9,2,7
1,24,12,2,10
1,25,9,4,8
1,26,5,0,3
1,27,8,13,6
1,28,12,6,11
1,29,12,7,11
1,30,10,3,9
1,31,8,2,6
1,32,5,0,4
1,33,7,2,6
1,34,11,3,10
1,35,8,1,5
1,36,9,1,7
1,37,8,0,5
1,38,10,2,7
1,39,0,0,0
1,40,10,2,9
2,1,10,6,8
2,2,7,2,6
2,3,13,10,12
2,4,6,0,4
2,5,10,5,6
2,6,12,10,11
2,7,14,11,13
2,8,9,2,6
2,9,7,2,6
2,10,14,17,12
2,11,10,3,5
2,12,8,4,7
2,13,5,0,4
2,14,8,2,7
2,15,10,7,9
2,16,11,4,9
2,17,7,4,5
2,18,9,4,8
2,19,9,4,5
2,20,8,2,7
2,21,11,5,6
2,22,11,2,8
2,23,7,1,5
2,24,11,7,10
2,25,8,0,4
2,26,8,6,7
2,27,5,2,4
2,28,10,4,9
2,29,13,16,12
2,30,11,4,8
2,31,8,3,6
2,32,8,1,4
2,33,12,16,11
2,34,9,3,5
2,35,9,4,7
2,36,10,6,5
2,37,8,3,5
2,38,7,4,4
2,39,7,2,4
2,40,8,5,5
3,1,10,10,6
3,2,12,18,11
3,3,11,9,9
3,4,6,0,3
3,5,14,21,11
3,6,13,19,12
3,7,7,2,3
3,8,14,42,13
3,9,12,20,10
3,10,9,3,7
3,11,15,20,13
3,12,12,7,7
3,13,15,26,13
3,14,7,4,5
3,15,13,14,7
3,16,9,3,5
3,17,12,12,8
3,18,8,6,7
3,19,10,3,5
3,20,13,11,12
3,21,9,5,7
3,22,9,8,6
3,23,10,12,9
3,24,10,10,5
3,25,9,9,8
3,26,10,7,6
3,27,10,5,7
3,28,10,6,6
3,29,11,8,7
3,30,7,4,5
3,31,13,11,8
3,32,8,6,7
3,33,10,21,9
3,34,8,5,6
3,35,10,10,7
3,36,10,10,8
3,37,15,27,13
3,38,5,1,4
3,39,9,10,8
3,40,9,9,8
4,1,13,65,12
4,2,10,19,8
4,3,12,27,8
4,4,9,9,5
4,5,7,3,4
4,6,13,45,10
4,7,15,73,11
4,8,13,13,9
4,9,12,19,9
4,10,9,25,5
4,11,4,0,0
4,12,11,28,10
4,13,10,8,7
4,14,11,14,6
4,15,11,22,10
4,16,15,30,7
4,17,13,7,6
4,18,11,19,10
4,19,12,15,10
4,20,10,14,7
4,21,15,26,12
4,22,12,35,9
4,23,14,45,11
4,24,15,53,10
4,25,9,8,6
4,26,17,82,16
4,27,13,22,8
4,28,9,17,8
4,29,10,14,8
4,30,13,41,11
4,31,11,13,6
4,32,10,12,7
4,33,12,29,10
4,34,12,46,11
4,35,7,17,5
4,36,11,36,10
4,37,11,18,8
4,38,13,52,10
4,39,11,39,8
4,40,11,25,10
5,1,9,11,6
5,2,13,7,8
5,3,14,99,13
5,4,13,41,10
5,5,15,61,8
5,6,14,36,8
5,7,16,84,14
5,8,12,52,11
5,9,13,40,9
5,10,11,69,9
5,11,12,43,7
5,12,13,88,10
5,13,11,15,9
5,14,14,45,10
5,15,10,11,7
5,16,13,44,8
5,17,16,82,14
5,18,13,45,12
5,19,15,71,13
5,20,12,95,11
5,21,13,26,11
5,22,18,90,12
5,23,11,9,6
5,24,8,15,6
5,25,13,42,11
5,26,14,30,7
5,27,16,56,13
5,28,14,94,13
5,29,17,85,13
5,30,15,73,14
5,31,10,31,7
5,32,11,40,9
5,33,16,52,10
5,34,10,31,6
5,35,16,68,13
5,36,10,15,7
5,37,11,3,3
5,38,14,61,12
5,39,9,6,6
5,40,13,17,8
6,1,10,39,8
6,2,14,127,13
6,3,15,58,10
6,4,15,129,12
6,5,16,93,11
6,6,10,5,6
6,7,19,227,18
6,8,16,106,14
6,9,12,50,10
6,10,16,84,11
6,11,12,32,6
6,12,14,30,9
6,13,15,50,11
6,14,15,166,13
6,15,11,60,9
6,16,12,94,8
6,17,13,90,12
6,18,11,34,8
6,19,14,167,12
6,20,16,90,11
6,21,15,146,13
6,22,13,104,10
6,23,12,30,11
6,24,13,80,12
6,25,14,137,11
6,26,18,125,12
