Group,Case,Move,Time,Iteration
1,1,13,5,12
1,2,8,1,5
1,3,2,0,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,4
1,7,8,2,6
1,8,6,0,4
1,9,10,2,9
1,10,12,2,11
1,11,8,1,6
1,12,10,2,8
1,13,11,2,10
1,14,11,2,8
1,15,9,2,8
1,16,9,2,8
1,17,8,1,4
1,18,7,2,6
1,19,14,4,13
1,20,15,3,14
1,21,15,2,14
1,22,12,2,11
1,23,9,1,7
1,24,12,2,10
1,25,9,2,8
1,26,5,0,3
1,27,8,0,5
1,28,12,2,11
1,29,12,3,11
1,30,10,1,9
1,31,8,1,6
1,32,5,1,4
1,33,7,1,6
1,34,11,2,10
1,35,8,1,5
1,36,9,1,6
1,37,8,1,4
1,38,10,1,7
1,39,0,0,0
1,40,10,2,9
2,1,10,4,7
2,2,7,1,6
2,3,13,5,10
2,4,6,0,4
2,5,10,3,6
2,6,13,6,12
2,7,15,7,14
2,8,9,2,6
2,9,7,1,6
2,10,15,7,13
2,11,11,3,10
2,12,8,2,7
2,13,5,0,4
2,14,8,1,7
2,15,10,3,8
2,16,12,5,10
2,17,7,2,5
2,18,9,3,8
2,19,9,2,5
2,20,8,2,7
2,21,11,3,6
2,22,11,1,8
2,23,7,1,5
2,24,11,5,10
2,25,8,1,4
2,26,8,5,7
2,27,5,2,4
2,28,10,4,9
2,29,14,11,12
2,30,11,3,7
2,31,9,3,7
2,32,8,2,4
2,33,12,5,10
2,34,9,1,5
2,35,9,1,7
2,36,10,2,4
2,37,8,1,5
2,38,7,2,4
2,39,7,1,4
2,40,8,2,5
3,1,10,7,6
3,2,12,6,9
3,3,11,4,9
3,4,6,0,3
3,5,14,10,10
3,6,14,11,7
3,7,7,1,3
3,8,14,13,13
3,9,14,18,13
3,10,9,3,7
3,11,15,12,13
3,12,12,2,6
3,13,15,10,13
3,14,7,3,5
3,15,13,6,7
3,16,9,2,3
3,17,12,4,9
3,18,8,7,7
3,19,10,2,5
3,20,13,5,9
3,21,9,4,6
3,22,10,3,6
3,23,10,5,9
3,24,10,5,5
3,25,9,5,8
3,26,10,3,6
3,27,10,3,7
3,28,10,3,6
3,29,12,4,8
3,30,7,4,4
3,31,13,6,8
3,32,8,3,7
3,33,10,5,9
3,34,8,2,6
3,35,10,4,7
3,36,10,4,6
3,37,16,18,15
3,38,5,2,4
3,39,9,5,8
3,40,9,4,8
4,1,13,21,11
4,2,10,12,7
4,3,12,12,7
4,4,10,17,9
4,5,7,3,4
4,6,13,19,9
4,7,16,22,14
4,8,13,9,9
4,9,12,16,8
4,10,9,10,5
4,11,4,0,0
4,12,11,12,10
4,13,10,7,7
4,14,11,9,5
4,15,11,18,10
4,16,15,13,7
4,17,14,12,9
4,18,11,10,9
4,19,12,6,7
4,20,10,8,5
4,21,15,15,9
4,22,12,15,9
4,23,15,11,10
4,24,15,16,8
4,25,9,2,6
4,26,17,23,15
4,27,13,6,7
4,28,9,6,6
4,29,10,5,8
4,30,13,28,11
4,31,11,6,6
4,32,10,9,7
4,33,12,8,8
4,34,12,21,11
4,35,7,4,5
4,36,11,20,10
4,37,11,18,8
4,38,13,29,10
4,39,12,15,7
4,40,11,14,10
5,1,9,8,6
5,2,13,4,8
5,3,14,42,13
5,4,13,25,9
5,5,15,27,8
5,6,14,15,8
5,7,17,71,16
5,8,12,19,11
5,9,13,17,9
5,10,11,21,6
5,11,12,14,7
5,12,13,39,10
5,13,11,5,4
5,14,14,23,9
5,15,10,6,7
5,16,13,22,8
5,17,16,54,12
5,18,13,28,12
5,19,15,40,13
5,20,12,44,11
5,21,13,23,11
5,22,18,48,12
5,23,11,7,6
5,24,8,8,6
5,25,13,22,11
5,26,14,12,4
5,27,16,20,10
5,28,14,42,13
5,29,17,39,13
5,30,15,32,14
5,31,10,34,7
5,32,11,31,9
5,33,16,37,9
5,34,11,22,7
5,35,16,47,11
5,36,10,9,7
5,37,11,2,3
5,38,14,27,12
5,39,9,5,6
5,40,13,7,8
6,1,10,23,8
6,2,14,31,10
6,3,15,30,8
6,4,15,68,12
6,5,16,45,11
6,6,10,5,6
6,7,19,103,18
6,8,16,42,13
6,9,12,23,9
6,10,16,38,8
6,11,12,13,6
6,12,14,16,9
6,13,15,27,11
6,14,15,57,13
6,15,11,27,9
6,16,12,29,8
6,17,13,45,12
6,18,11,16,6
6,19,15,86,13
6,20,16,33,11
6,21,15,71,11
6,22,13,68,10
6,23,12,8,6
6,24,13,34,12
6,25,14,36,7
6,26,18,54,10
6,27,8,18,7
6,28,15,40,11
6,29,17,49,10
6,30,13,35,11
6,31,14,37,10
6,32,14,20,7
6,33,12,8,7
6,34,13,30,9
6,35,17,55,15
6,36,14,39,9
6,37,12,47,9
6,38,17,51,16
6,39,12,5,5
6,40,15,31,7
7,1,13,11,11
7,2,17,10,16
7,3,22,18,20
7,4,15,9,13
7,5,18,14,17
7,6,10,5,8
7,7,20,14,18
7,8,17,14,16
7,9,7,3,4
7,10,16,9,14
7,11,11,6,9
7,12,19,16,18
7,13,23,18,19
7,14,19,17,18
7,15,15,8,12
7,16,23,21,22
7,17,11,3,5
7,18,21,17,19
7,19,20,15,15
7,20,19,11,12
7,21,17,8,14
7,22,13,9,12
7,23,23,21,22
7,24,19,16,18
7,25,23,22,22
7,26,18,15,17
7,27,22,26,21
7,28,17,14,16
7,29,18,18,16
7,30,19,18,18
7,31,18,7,14
7,32,16,10,14
7,33,21,19,19
7,34,16,10,15
7,35,23,20,21
7,36,17,11,15
7,37,16,8,15
7,38,18,17,17
7,39,16,12,14
7,40,16,14,13
8,1,19,23,12
8,2,20,32,19
8,3,21,30,14
8,4,12,13,11
8,5,18,23,14
8,6,18,19,15
8,7,15,22,14
8,8,22,27,21
8,9,20,17,9
8,10,16,16,15
8,11,15,8,6
8,12,18,30,17
8,13,15,13,14
8,14,21,33,20
8,15,23,48,22
8,16,13,12,11
8,17,23,39,22
8,18,18,23,17
8,19,18,21,12
8,20,20,35,19
8,21,20,29,17
8,22,23,46,20
8,23,22,43,21
8,24,18,30,17
8,25,20,47,16
8,26,21,27,15
8,27,17,22,15
8,28,16,17,9
8,29,22,37,21
8,30,22,30,17
8,31,21,34,20
8,32,24,32,16
8,33,19,26,17
8,34,23,42,22
8,35,17,27,12
8,36,13,15,12
8,37,17,28,16
8,38,18,16,13
8,39,22,49,20
8,40,19,41,18
9,1,23,75,19
