group,poolsize,lookdepth,lookwidth,avesol,avetime
1,20,3,20,10.0,0.010200000000000002
2,20,3,20,17.2,0.0397
3,20,3,20,26.4,0.20550000000000002
4,20,3,20,35.9,0.6668999999999999
