group,case,lb-dfs,t-dfs,lb-maxknap,t-maxkanap,lb-fb,t-fb
5,13,10,0,10,0,10,0
5,14,12,0,12,0,12,0
5,15,9,0,9,0,9,0
5,16,13,0,13,0,13,0
5,17,14,0,14,0,14,0
5,18,11,0,11,0,11,0
5,19,13,0,13,0,13,0
5,20,10,0,10,0,10,0
5,21,12,0,12,0,12,0
5,22,16,0,16,0,16,0
5,23,11,0,11,0,11,0
5,24,7,0,7,0,7,0
5,25,11,0,11,0,11,0
5,26,11,0,11,0,11,0
5,27,14,0,14,0,14,0
5,28,11,0,11,0,11,0
5,29,15,0,15,0,15,0
5,30,13,0,13,0,13,0
5,31,8,0,8,0,8,0
5,32,9,0,9,0,9,0
5,33,13,0,13,0,13,0
5,34,9,0,9,0,9,0
5,35,15,0,15,0,15,0
5,36,9,0,9,0,9,0
5,37,10,0,10,0,10,0
5,38,12,0,12,0,12,0
5,39,9,0,9,0,9,0
5,40,13,0,13,0,13,0
6,1,9,0,9,0,9,0
6,2,12,0,12,0,12,0
6,3,14,0,14,0,14,0
6,4,13,0,13,0,13,0
6,5,15,0,15,0,15,0
6,6,10,0,10,0,10,0
6,7,16,0,16,0,16,0
6,8,15,0,15,0,15,0
6,9,11,0,11,0,11,0
6,10,14,0,14,0,14,0
6,11,10,0,10,0,10,0
6,12,12,0,12,0,12,0
6,13,14,0,14,0,14,0
6,14,11,0,11,0,11,0
6,15,10,0,10,0,10,0
6,16,10,0,10,0,10,0
6,17,10,0,10,0,10,0
6,18,9,0,9,0,9,0
6,19,13,0,13,0,13,0
6,20,14,0,14,0,14,0
6,21,13,0,13,0,13,0
6,22,12,0,12,0,12,0
6,23,11,0,11,0,11,0
6,24,10,0,10,0,10,0
6,25,11,0,11,0,11,0
6,26,16,0,16,0,16,0
6,27,7,0,7,0,7,0
6,28,12,0,12,0,12,0
6,29,16,0,16,0,16,0
6,30,12,0,12,0,12,0
6,31,12,0,12,0,12,0
6,32,13,0,13,0,13,0
6,33,12,0,12,0,12,0
6,34,12,0,12,0,12,0
6,35,15,0,15,0,15,0
6,36,12,0,12,0,12,0
6,37,10,0,10,0,10,0
6,38,14,0,14,0,14,0
6,39,11,0,11,0,11,0
6,40,13,0,13,0,13,0
7,1,8,0,7,0,7,0
7,2,11,0,11,0,11,0
7,3,14,0,14,0,14,0
7,4,12,0,12,0,12,0
7,5,12,0,12,0,12,0
7,6,6,0,6,0,5,0
7,7,14,0,14,0,14,0
7,8,13,0,13,0,13,0
7,9,5,0,5,0,5,0
7,10,10,0,10,0,10,0
7,11,8,0,8,0,8,0
7,12,13,0,13,0,13,0
7,13,15,0,15,0,15,0
7,14,13,0,13,0,13,0
7,15,10,0,9,0,9,0
7,16,17,0,17,0,17,0
7,17,8,0,8,0,8,0
7,18,15,0,15,0,15,0
7,19,13,0,13,0,13,0
7,20,14,0,14,0,14,0
7,21,13,0,13,0,13,0
7,22,7,0,7,0,7,0
7,23,16,0,16,0,16,0
7,24,13,0,13,0,13,0
7,25,14,0,14,0,14,0
7,26,14,0,14,0,14,0
7,27,14,0,14,0,14,0
7,28,11,0,10,0,9,0
7,29,12,0,12,0,12,0
7,30,11,0,10,0,10,0
7,31,16,0,16,0,16,0
7,32,11,0,11,0,11,0
7,33,14,0,14,0,14,0
7,34,11,0,11,0,11,0
7,35,16,0,16,0,16,0
7,36,12,0,12,0,12,0
7,37,12,0,12,0,12,0
7,38,11,0,11,0,11,0
7,39,9,0,9,0,9,0
7,40,11,0,11,0,11,0
8,1,16,0,16,0,16,0
8,2,16,0,16,0,16,0
8,3,18,0,18,0,18,0
8,4,8,0,8,0,8,0
8,5,14,0,14,0,14,0
8,6,14,0,14,0,14,0
8,7,11,0,11,0,11,0
8,8,20,0,20,0,20,0
8,9,17,0,17,0,17,0
8,10,12,0,12,0,12,0
8,11,13,0,13,0,13,0
8,12,13,0,13,0,13,0
8,13,13,0,13,0,13,0
8,14,16,0,16,0,16,0
8,15,18,0,18,0,18,0
8,16,11,0,10,0,10,0
8,17,18,0,18,0,18,0
8,18,16,0,16,0,16,0
8,19,16,0,16,0,16,0
