group,case,res,time
18,1,45,0
18,2,45,0
18,3,45,0
18,4,45,0
18,5,45,0
18,6,45,0
18,7,45,0
18,8,45,0
18,9,45,0
18,10,45,0
18,11,45,0
18,12,45,0
18,13,45,0
18,14,45,0
18,15,45,0
18,16,45,0
18,17,45,0
18,18,45,0
18,19,45,0
18,20,45,0
19,1,36,0
19,2,36,0
19,3,36,0
19,4,36,0
19,5,36,0
19,6,37,0
19,7,36,0
19,8,39,4
19,9,38,1
19,10,36,0
19,11,36,0
19,12,38,0
19,13,36,0
19,14,36,0
19,15,36,0
19,16,37,0
19,17,36,0
19,18,36,0
19,19,36,0
19,20,36,0
20,1,45,0
20,2,45,0
20,3,45,0
20,4,45,0
20,5,45,0
20,6,45,0
20,7,45,0
20,8,45,0
20,9,45,0
20,10,45,0
20,11,45,0
20,12,45,0
20,13,45,0
20,14,45,0
20,15,45,0
20,16,45,0
20,17,45,0
20,18,45,0
20,19,45,0
20,20,45,0
21,1,49,1
21,2,52,0
21,3,50,6
21,4,51,17
21,5,50,0
21,6,55,60
21,7,52,9
21,8,51,44
21,9,50,17
21,10,50,2
21,11,52,2
21,12,52,60
21,13,51,60
21,14,53,3
21,15,96,60
21,16,51,3
21,17,53,52
21,18,52,3
21,19,55,12
21,20,51,60
22,1,60,9
22,2,61,0
22,3,61,0
22,4,62,24
22,5,61,13
22,6,61,6
22,7,63,28
22,8,61,2
22,9,63,31
22,10,61,10
22,11,60,16
22,12,62,60
22,13,62,19
22,14,60,0
22,15,61,11
22,16,61,8
22,17,65,60
22,18,60,2
22,19,61,4
22,20,60,1
23,1,49,2
23,2,49,29
23,3,51,2
23,4,51,35
23,5,249,60
23,6,52,60
23,7,51,28
23,8,50,25
23,9,53,60
23,10,242,60
23,11,53,6
23,12,51,13
23,13,50,49
23,14,51,0
23,15,51,18
23,16,51,4
23,17,201,60
23,18,51,8
23,19,52,11
23,20,51,2
24,1,63,60
24,2,62,3
24,3,60,1
24,4,65,60
24,5,61,7
24,6,63,6
24,7,227,60
24,8,61,6
24,9,61,56
24,10,63,60
24,11,63,51
24,12,62,60
24,13,253,60
24,14,60,1
24,15,62,8
24,16,61,1
24,17,61,1
24,18,61,0
24,19,60,2
24,20,63,60
25,1,62,19
25,2,69,60
25,3,172,60
25,4,61,60
25,5,252,60
25,6,66,60
25,7,60,18
25,8,64,60
25,9,63,60
25,10,65,60
25,11,63,60
25,12,59,21
25,13,60,1
25,14,64,60
25,15,63,60
25,16,64,43
25,17,60,35
25,18,62,60
25,19,66,60
25,20,63,3
26,1,72,0
26,2,334,60
26,3,79,60
26,4,75,60
26,5,72,0
26,6,74,60
26,7,74,60
26,8,74,60
26,9,72,36
26,10,147,60
26,11,72,29
26,12,359,60
26,13,72,2
26,14,155,60
26,15,72,0
26,16,72,56
26,17,88,60
26,18,75,60
26,19,76,60
26,20,73,25
27,1,64,60
27,2,-1,60
27,3,207,60
27,4,61,3
27,5,116,60
27,6,63,60
27,7,70,60
27,8,62,12
27,9,97,60
27,10,247,60
27,11,66,60
27,12,62,60
27,13,66,60
27,14,65,60
27,15,65,60
27,16,71,60
27,17,64,60
27,18,259,60
27,19,220,60
27,20,63,14
28,1,322,60
28,2,72,18
28,3,75,60
28,4,77,60
28,5,79,60
28,6,77,60
28,7,322,60
28,8,279,60
28,9,85,60
28,10,75,60
28,11,72,16
28,12,72,0
28,13,84,60
28,14,-1,60
28,15,84,60
28,16,72,5
28,17,75,60
28,18,73,0
28,19,72,0
28,20,77,60
29,1,-1,60
29,2,-1,60
29,3,-1,60
29,4,399,60
29,5,-1,60
29,6,-1,60
29,7,-1,60
29,8,-1,60
29,9,409,60
29,10,-1,60
29,11,-1,60
29,12,-1,60
29,13,101,60
29,14,-1,60
29,15,-1,60
29,16,399,60
29,17,-1,60
29,18,-1,60
29,19,-1,60
29,20,-1,60
30,1,120,60
30,2,-1,60
30,3,-1,60
30,4,-1,60
30,5,-1,60
30,6,-1,60
30,7,-1,60
30,8,-1,60
30,9,-1,60
30,10,-1,60
30,11,-1,60
30,12,-1,60
30,13,-1,60
30,14,449,60
30,15,-1,60
30,16,-1,60
30,17,-1,60
30,18,-1,60
30,19,486,60
30,20,-1,60
31,1,-1,60
31,2,-1,60
31,3,-1,60
31,4,-1,60
31,5,-1,60
31,6,-1,60
31,7,-1,60
31,8,-1,60
31,9,399,60
