Group,Case,LB,IS,Res,Time,Width,Sequence
2,3,7,8,8,0.001,20,[16(9) : 3->0] [15(10) : 3->0] [14(11) : 3->0] [13(5) : 2->0] [12(12) : 3->0] [11(4) : 1->3] [11(4) : 3->0] [10(16) : 4->3] [10(16) : 3->0] [8(15) : 4->1] [9(14) : 4->3] [9(14) : 3->0] [8(15) : 1->3] [8(15) : 3->0] [7(3) : 1->3] [7(3) : 3->0] [6(8) : 2->3] [6(8) : 3->0] [5(6) : 2->0] [4(13) : 4->0] [3(2) : 1->4] [3(2) : 4->0] [2(1) : 1->0] [1(7) : 2->0]
2,4,14,21,19,0.005,20,[15(4) : 1->4] [3(8) : 2->3] [10(7) : 2->3] [13(6) : 2->3] [8(5) : 2->3] [16(3) : 1->2] [16(3) : 2->0] [15(4) : 4->2] [15(4) : 2->0] [14(16) : 4->2] [14(16) : 2->0] [8(5) : 3->4] [13(6) : 3->2] [13(6) : 2->0] [10(7) : 3->4] [3(8) : 3->1] [2(12) : 3->1] [12(11) : 3->2] [12(11) : 2->0] [11(10) : 3->2] [11(10) : 2->0] [10(7) : 4->2] [10(7) : 2->0] [9(1) : 1->0] [8(5) : 4->2] [8(5) : 2->0] [7(9) : 3->0] [1(15) : 4->1] [6(14) : 4->3] [6(14) : 3->0] [5(13) : 4->0] [4(2) : 1->0] [3(8) : 1->0] [2(12) : 1->0] [1(15) : 1->0]
2,5,14,22,20,0.005,20,[10(16) : 4->1] [4(12) : 3->1] [15(11) : 3->2] [7(10) : 3->1] [5(9) : 3->1] [16(15) : 4->3] [16(15) : 3->0] [15(11) : 2->3] [15(11) : 3->0] [9(14) : 4->3] [6(8) : 2->3] [5(9) : 1->3] [2(13) : 4->3] [14(7) : 2->4] [14(7) : 4->0] [7(10) : 1->2] [4(12) : 1->2] [10(16) : 1->2] [11(4) : 1->2] [13(3) : 1->4] [13(3) : 4->0] [12(5) : 2->0] [11(4) : 2->4] [11(4) : 4->0] [10(16) : 2->4] [10(16) : 4->0] [9(14) : 3->0] [8(6) : 2->0] [7(10) : 2->0] [6(8) : 3->0] [5(9) : 3->0] [4(12) : 2->0] [3(2) : 1->2] [3(2) : 2->0] [2(13) : 3->0] [1(1) : 1->0]
2,6,13,18,18,0.002,20,[15(12) : 3->2] [7(11) : 3->1] [16(10) : 3->1] [1(9) : 3->4] [16(10) : 1->3] [16(10) : 3->0] [15(12) : 2->3] [15(12) : 3->0] [14(8) : 2->3] [14(8) : 3->0] [1(9) : 4->2] [6(16) : 4->2] [13(15) : 4->3] [13(15) : 3->0] [12(1) : 1->0] [7(11) : 1->2] [2(4) : 1->4] [11(3) : 1->3] [11(3) : 3->0] [7(11) : 2->1] [6(16) : 2->1] [1(9) : 2->4] [3(7) : 2->1] [10(6) : 2->3] [10(6) : 3->0] [9(5) : 2->0] [8(2) : 1->0] [7(11) : 1->0] [6(16) : 1->0] [5(13) : 4->0] [4(14) : 4->0] [3(7) : 1->0] [2(4) : 4->0] [1(9) : 4->0]
2,7,16,22,18,0.002,20,[2(4) : 1->4] [3(3) : 1->4] [15(2) : 1->3] [9(1) : 1->4] [16(8) : 2->1] [16(8) : 1->0] [15(2) : 3->1] [15(2) : 1->0] [12(12) : 3->1] [9(1) : 4->1] [8(11) : 3->1] [6(7) : 2->1] [5(6) : 2->1] [3(3) : 4->1] [2(4) : 4->1] [1(5) : 2->1] [14(10) : 3->2] [14(10) : 2->0] [10(16) : 4->3] [4(15) : 4->3] [13(14) : 4->2] [13(14) : 2->0] [12(12) : 1->0] [11(9) : 3->0] [10(16) : 3->0] [9(1) : 1->0] [8(11) : 1->0] [7(13) : 4->0] [6(7) : 1->0] [5(6) : 1->0] [4(15) : 3->0] [3(3) : 1->0] [2(4) : 1->0] [1(5) : 1->0]
2,8,13,21,17,0.002,20,[6(4) : 1->4] [10(3) : 1->4] [16(2) : 1->4] [9(1) : 1->2] [16(2) : 4->1] [16(2) : 1->0] [15(13) : 4->0] [14(12) : 3->1] [14(12) : 1->0] [13(9) : 3->0] [12(11) : 3->1] [12(11) : 1->0] [10(3) : 4->1] [9(1) : 2->1] [6(4) : 4->1] [4(16) : 4->1] [2(8) : 2->1] [3(7) : 2->4] [1(10) : 3->1] [11(6) : 2->3] [11(6) : 3->0] [10(3) : 1->0] [9(1) : 1->0] [3(7) : 4->2] [8(15) : 4->3] [8(15) : 3->0] [7(14) : 4->0] [6(4) : 1->0] [5(5) : 2->0] [4(16) : 1->0] [3(7) : 2->0] [2(8) : 1->0] [1(10) : 1->0]
2,9,16,26,19,0.002,20,[13(4) : 1->4] [7(12) : 3->4] [8(11) : 3->4] [2(3) : 1->4] [10(2) : 1->4] [5(1) : 1->4] [16(10) : 3->1] [16(10) : 1->0] [15(9) : 3->0] [9(8) : 2->3] [5(1) : 4->3] [3(7) : 2->3] [14(6) : 2->1] [14(6) : 1->0] [10(2) : 4->2] [2(3) : 4->3] [8(11) : 4->2] [7(12) : 4->2] [13(4) : 4->1] [13(4) : 1->0] [12(5) : 2->0] [1(16) : 4->3] [11(15) : 4->1] [11(15) : 1->0] [10(2) : 2->0] [9(8) : 3->0] [8(11) : 2->0] [7(12) : 2->0] [6(14) : 4->1] [6(14) : 1->0] [5(1) : 3->0] [4(13) : 4->0] [3(7) : 3->0] [2(3) : 3->0] [1(16) : 3->0]
2,10,16,29,24,0.01,20,[4(16) : 4->2] [16(15) : 4->2] [3(14) : 4->1] [2(13) : 4->1] [16(15) : 2->4] [16(15) : 4->0] [8(12) : 3->2] [15(11) : 3->4] [15(11) : 4->0] [9(10) : 3->4] [8(12) : 2->4] [4(16) : 2->3] [6(8) : 2->4] [12(7) : 2->4] [13(6) : 2->4] [2(13) : 1->3] [3(14) : 1->4] [1(5) : 2->3] [14(4) : 1->2] [14(4) : 2->0] [3(14) : 4->1] [13(6) : 4->2] [13(6) : 2->0] [12(7) : 4->2] [12(7) : 2->0] [3(14) : 1->4] [7(3) : 1->4] [11(2) : 1->2] [11(2) : 2->0] [10(1) : 1->0] [9(10) : 4->0] [8(12) : 4->0] [7(3) : 4->1] [7(3) : 1->0] [6(8) : 4->0] [5(9) : 3->0] [4(16) : 3->0] [3(14) : 4->0] [2(13) : 3->0] [1(5) : 3->0]
3,1,22,37,29,0.022,20,[16(25) : 5->4] [4(15) : 3->4] [9(14) : 3->4] [10(13) : 3->4] [22(12) : 3->4] [17(11) : 3->4] [25(24) : 5->3] [25(24) : 3->0] [7(5) : 1->5] [24(4) : 1->3] [24(4) : 3->0] [23(10) : 2->3] [23(10) : 3->0] [17(11) : 4->3] [15(3) : 1->3] [7(5) : 5->1] [6(9) : 2->1] [13(8) : 2->3] [21(7) : 2->5] [11(6) : 2->3] [22(12) : 4->2] [22(12) : 2->0] [21(7) : 5->2] [21(7) : 2->0] [18(23) : 5->4] [20(22) : 5->2] [20(22) : 2->0] [19(16) : 4->0] [18(23) : 4->2] [18(23) : 2->0] [17(11) : 3->0] [10(13) : 4->3] [9(14) : 4->3] [4(15) : 4->1] [16(25) : 4->2] [16(25) : 2->0] [15(3) : 3->0] [14(1) : 1->0] [13(8) : 3->0] [12(21) : 5->0] [11(6) : 3->0] [10(13) : 3->0] [9(14) : 3->0] [8(2) : 1->0] [7(5) : 1->0] [6(9) : 1->0] [1(20) : 4->1] [5(19) : 4->5] [5(19) : 5->0] [4(15) : 1->0] [3(18) : 4->5] [3(18) : 5->0] [2(17) : 4->0] [1(20) : 1->0]
3,2,20,29,26,0.007,20,[5(10) : 2->3] [19(9) : 2->5] [23(8) : 2->4] [15(7) : 2->3] [9(6) : 2->3] [1(5) : 1->3] [25(4) : 1->2] [25(4) : 2->0] [24(11) : 3->0] [23(8) : 4->2] [23(8) : 2->0] [22(21) : 5->0] [19(9) : 5->2] [18(25) : 5->2] [14(24) : 5->2] [13(20) : 4->2] [7(19) : 4->5] [10(18) : 4->2] [20(17) : 4->3] [6(16) : 4->5] [2(3) : 1->5] [21(2) : 1->4] [21(2) : 4->0] [20(17) : 3->4] [20(17) : 4->0] [19(9) : 2->0] [18(25) : 2->0] [17(1) : 1->0] [16(22) : 5->0] [1(5) : 3->5] [9(6) : 3->2] [15(7) : 3->1] [15(7) : 1->0] [14(24) : 2->0] [13(20) : 2->0] [12(23) : 5->0] [5(10) : 3->2] [4(15) : 3->2] [11(14) : 3->1] [11(14) : 1->0] [10(18) : 2->0] [9(6) : 2->0] [8(13) : 3->4] [8(13) : 4->0] [7(19) : 5->0] [6(16) : 5->0] [5(10) : 2->0] [4(15) : 2->0] [3(12) : 3->0] [2(3) : 5->0] [1(5) : 5->0]
3,3,18,27,25,0.024,20,[25(16) : 4->0] [2(10) : 2->4] [21(9) : 2->5] [22(8) : 2->5] [24(7) : 2->5] [20(6) : 2->3] [24(7) : 5->2] [24(7) : 2->0] [23(5) : 1->2] [23(5) : 2->0] [22(8) : 5->2] [22(8) : 2->0] [21(9) : 5->2] [21(9) : 2->0] [20(6) : 3->2] [20(6) : 2->0] [19(17) : 4->0] [18(18) : 4->0] [17(25) : 5->2] [17(25) : 2->0] [14(4) : 1->5] [16(3) : 1->2] [16(3) : 2->0] [14(4) : 5->2] [12(2) : 1->2] [7(24) : 5->2] [6(15) : 3->2] [3(1) : 1->2] [15(14) : 3->1] [15(14) : 1->0] [14(4) : 2->0] [9(23) : 5->3] [13(22) : 5->1] [13(22) : 1->0] [12(2) : 2->0] [2(10) : 4->2] [11(20) : 4->1] [11(20) : 1->0] [10(11) : 3->0] [9(23) : 3->1] [9(23) : 1->0] [8(19) : 4->0] [7(24) : 2->0] [6(15) : 2->0] [5(13) : 3->1] [5(13) : 1->0] [4(21) : 5->0] [3(1) : 2->0] [2(10) : 2->0] [1(12) : 3->0]
3,4,20,27,25,0.022,20,[25(16) : 4->0] [15(5) : 1->5] [24(4) : 1->5] [17(3) : 1->4] [3(2) : 1->4] [14(1) : 1->4] [24(4) : 5->1] [24(4) : 1->0] [23(10) : 2->1] [23(10) : 1->0] [21(9) : 2->1] [15(5) : 5->1] [14(1) : 4->1] [11(8) : 2->1] [10(7) : 2->1] [4(6) : 2->1] [22(15) : 3->2] [22(15) : 2->0] [21(9) : 1->0] [3(2) : 4->1] [2(14) : 3->1] [20(13) : 3->2] [20(13) : 2->0] [19(21) : 5->0] [17(3) : 4->5] [18(20) : 4->2] [18(20) : 2->0] [17(3) : 5->2] [17(3) : 2->0] [16(25) : 5->2] [16(25) : 2->0] [15(5) : 1->0] [14(1) : 1->0] [1(19) : 4->1] [13(18) : 4->2] [13(18) : 2->0] [5(24) : 5->4] [12(23) : 5->2] [12(23) : 2->0] [11(8) : 1->0] [10(7) : 1->0] [9(11) : 3->0] [8(12) : 3->0] [7(17) : 4->0] [6(22) : 5->0] [5(24) : 4->0] [4(6) : 1->0] [3(2) : 1->0] [2(14) : 1->0] [1(19) : 1->0]
3,5,21,29,26,0.014,20,[20(15) : 3->4] [25(14) : 3->4] [7(13) : 3->5] [18(12) : 3->5] [17(11) : 3->5] [25(14) : 4->3] [25(14) : 3->0] [24(10) : 2->3] [24(10) : 3->0] [23(6) : 2->0] [22(5) : 1->3] [22(5) : 3->0] [20(15) : 4->3] [17(11) : 5->3] [18(12) : 5->4] [15(9) : 2->3] [16(8) : 2->1] [7(13) : 5->3] [6(7) : 2->3] [21(25) : 5->2] [21(25) : 2->0] [20(15) : 3->0] [19(16) : 4->0] [18(12) : 4->2] [18(12) : 2->0] [17(11) : 3->0] [16(8) : 1->2] [16(8) : 2->0] [15(9) : 3->0] [2(24) : 5->3] [1(20) : 4->3] [14(19) : 4->2] [14(19) : 2->0] [13(18) : 4->2] [13(18) : 2->0] [12(23) : 5->2] [12(23) : 2->0] [11(4) : 1->2] [11(4) : 2->0] [10(22) : 5->2] [10(22) : 2->0] [9(3) : 1->2] [9(3) : 2->0] [8(21) : 5->0] [7(13) : 3->0] [6(7) : 3->0] [5(1) : 1->0] [4(17) : 4->0] [3(2) : 1->0] [2(24) : 3->0] [1(20) : 3->0]
3,6,22,43,25,0.004,20,[1(20) : 4->5] [11(19) : 4->5] [10(18) : 4->5] [20(17) : 4->5] [5(16) : 4->5] [25(10) : 2->4] [25(10) : 4->0] [23(5) : 1->4] [21(15) : 3->4] [19(4) : 1->4] [18(9) : 2->4] [17(8) : 2->4] [14(3) : 1->4] [8(2) : 1->2] [5(16) : 5->2] [2(1) : 1->2] [24(14) : 3->1] [24(14) : 1->0] [23(5) : 4->0] [22(13) : 3->1] [22(13) : 1->0] [21(15) : 4->0] [20(17) : 5->1] [20(17) : 1->0] [19(4) : 4->0] [18(9) : 4->0] [17(8) : 4->0] [16(6) : 2->0] [10(18) : 5->3] [11(19) : 5->4] [1(20) : 5->2] [6(25) : 5->3] [3(24) : 5->3] [7(23) : 5->4] [15(22) : 5->1] [15(22) : 1->0] [14(3) : 4->0] [13(11) : 3->0] [12(12) : 3->0] [11(19) : 4->0] [10(18) : 3->0] [9(7) : 2->0] [8(2) : 2->0] [7(23) : 4->0] [6(25) : 3->0] [5(16) : 2->0] [4(21) : 5->0] [3(24) : 3->0] [2(1) : 2->0] [1(20) : 2->0]
