Group,Case,LB,IS,Res,Time,Width,Sequence
3,7,25,47,32,0.062,20,[25(15) : 3->1] [11(14) : 3->4] [22(13) : 3->2] [13(12) : 3->4] [7(11) : 3->4] [25(15) : 1->3] [25(15) : 3->0] [24(5) : 1->3] [24(5) : 3->0] [22(13) : 2->3] [21(4) : 1->3] [15(25) : 5->3] [7(11) : 4->3] [5(3) : 1->3] [4(10) : 2->3] [3(24) : 5->3] [14(23) : 5->4] [19(22) : 5->4] [9(21) : 5->4] [23(2) : 1->5] [23(2) : 5->0] [22(13) : 3->0] [21(4) : 3->0] [16(9) : 2->5] [10(8) : 2->1] [20(7) : 2->4] [2(6) : 2->3] [20(7) : 4->2] [20(7) : 2->0] [9(21) : 4->1] [19(22) : 4->2] [19(22) : 2->0] [14(23) : 4->5] [13(12) : 4->5] [11(14) : 4->5] [18(20) : 4->2] [18(20) : 2->0] [1(19) : 4->3] [8(18) : 4->1] [17(17) : 4->2] [17(17) : 2->0] [16(9) : 5->0] [15(25) : 3->0] [14(23) : 5->0] [13(12) : 5->0] [12(1) : 1->0] [11(14) : 5->0] [10(8) : 1->0] [9(21) : 1->0] [8(18) : 1->0] [7(11) : 3->0] [6(16) : 4->0] [5(3) : 3->0] [4(10) : 3->0] [3(24) : 3->0] [2(6) : 3->0] [1(19) : 3->0]
3,8,22,37,31,0.076,20,[20(20) : 4->3] [7(19) : 4->5] [3(5) : 1->5] [16(4) : 1->5] [22(3) : 1->2] [23(2) : 1->2] [2(1) : 1->5] [25(18) : 4->1] [25(18) : 1->0] [24(16) : 4->0] [23(2) : 2->1] [23(2) : 1->0] [22(3) : 2->1] [22(3) : 1->0] [20(20) : 3->1] [17(10) : 2->1] [13(17) : 4->1] [21(9) : 2->4] [21(9) : 4->0] [20(20) : 1->0] [4(15) : 3->1] [2(1) : 5->1] [1(8) : 2->1] [16(4) : 5->4] [12(7) : 2->4] [11(6) : 2->4] [19(14) : 3->2] [19(14) : 2->0] [18(13) : 3->2] [18(13) : 2->0] [17(10) : 1->0] [16(4) : 4->0] [3(5) : 5->3] [7(19) : 5->4] [9(25) : 5->4] [5(24) : 5->4] [10(23) : 5->4] [15(22) : 5->2] [15(22) : 2->0] [14(21) : 5->0] [13(17) : 1->0] [12(7) : 4->0] [11(6) : 4->0] [10(23) : 4->5] [10(23) : 5->0] [5(24) : 4->2] [9(25) : 4->5] [9(25) : 5->0] [8(11) : 3->0] [7(19) : 4->0] [6(12) : 3->0] [5(24) : 2->0] [4(15) : 1->0] [3(5) : 3->0] [2(1) : 1->0] [1(8) : 1->0]
3,9,23,38,31,0.043000000000000003,20,[16(25) : 5->4] [12(24) : 5->4] [2(23) : 5->4] [25(22) : 5->4] [13(21) : 5->3] [25(22) : 4->5] [25(22) : 5->0] [24(5) : 1->5] [24(5) : 5->0] [23(10) : 2->5] [23(10) : 5->0] [20(9) : 2->5] [13(21) : 3->5] [11(15) : 3->5] [5(8) : 2->5] [10(7) : 2->1] [2(23) : 4->5] [1(6) : 2->5] [22(14) : 3->2] [22(14) : 2->0] [18(13) : 3->2] [14(12) : 3->2] [12(24) : 4->2] [16(25) : 4->1] [9(20) : 4->2] [7(11) : 3->2] [3(19) : 4->2] [6(18) : 4->1] [21(17) : 4->3] [21(17) : 3->0] [20(9) : 5->0] [19(1) : 1->0] [18(13) : 2->0] [17(16) : 4->0] [6(18) : 1->4] [16(25) : 1->3] [16(25) : 3->0] [10(7) : 1->3] [6(18) : 4->3] [4(4) : 1->3] [15(3) : 1->4] [15(3) : 4->0] [14(12) : 2->0] [13(21) : 5->0] [12(24) : 2->0] [11(15) : 5->0] [10(7) : 3->0] [9(20) : 2->0] [8(2) : 1->0] [7(11) : 2->0] [6(18) : 3->0] [5(8) : 5->0] [4(4) : 3->0] [3(19) : 2->0] [2(23) : 5->0] [1(6) : 5->0]
3,10,20,26,23,0.005,20,[25(11) : 3->0] [24(6) : 2->0] [6(5) : 1->2] [22(4) : 1->4] [14(3) : 1->2] [21(2) : 1->5] [4(1) : 1->2] [23(15) : 3->1] [23(15) : 1->0] [22(4) : 4->1] [22(4) : 1->0] [21(2) : 5->1] [21(2) : 1->0] [20(21) : 5->0] [9(14) : 3->2] [19(13) : 3->1] [19(13) : 1->0] [10(20) : 4->3] [9(14) : 2->3] [4(1) : 2->3] [3(19) : 4->3] [18(18) : 4->1] [18(18) : 1->0] [17(16) : 4->0] [16(25) : 5->1] [16(25) : 1->0] [15(17) : 4->0] [14(3) : 2->4] [14(3) : 4->0] [12(24) : 5->1] [13(23) : 5->4] [13(23) : 4->0] [12(24) : 1->0] [11(12) : 3->0] [10(20) : 3->0] [9(14) : 3->0] [6(5) : 2->1] [2(10) : 2->3] [5(9) : 2->1] [8(8) : 2->4] [8(8) : 4->0] [7(7) : 2->0] [6(5) : 1->0] [5(9) : 1->0] [4(1) : 3->0] [3(19) : 3->0] [2(10) : 3->0] [1(22) : 5->0]
4,1,23,57,33,0.059000000000000004,20,[36(25) : 5->0] [30(12) : 2->5] [35(11) : 2->5] [32(10) : 2->3] [10(9) : 2->1] [24(8) : 2->1] [12(7) : 2->1] [35(11) : 5->2] [35(11) : 2->0] [34(26) : 5->0] [33(13) : 3->0] [32(10) : 3->2] [32(10) : 2->0] [30(12) : 5->2] [25(24) : 4->2] [23(18) : 3->2] [19(30) : 5->2] [13(29) : 5->2] [28(28) : 5->6] [12(7) : 1->2] [8(23) : 4->2] [4(27) : 5->2] [31(17) : 3->5] [31(17) : 5->0] [30(12) : 2->0] [29(31) : 6->0] [3(16) : 3->2] [24(8) : 1->5] [18(22) : 4->5] [15(15) : 3->5] [10(9) : 1->5] [7(14) : 3->5] [28(28) : 6->3] [28(28) : 3->0] [27(1) : 1->0] [5(36) : 6->5] [14(35) : 6->1] [26(34) : 6->3] [26(34) : 3->0] [25(24) : 2->0] [24(8) : 5->0] [23(18) : 2->0] [22(19) : 4->0] [21(2) : 1->0] [20(21) : 4->3] [20(21) : 3->0] [19(30) : 2->0] [18(22) : 5->0] [17(33) : 6->3] [17(33) : 3->0] [14(35) : 1->5] [16(6) : 1->3] [16(6) : 3->0] [15(15) : 5->0] [14(35) : 5->3] [14(35) : 3->0] [13(29) : 2->0] [12(7) : 2->0] [11(3) : 1->0] [10(9) : 5->0] [9(4) : 1->0] [8(23) : 2->0] [7(14) : 5->0] [6(5) : 1->0] [5(36) : 5->0] [4(27) : 2->0] [3(16) : 2->0] [2(32) : 6->0] [1(20) : 4->0]
4,2,29,42,37,0.034,20,[18(30) : 5->1] [22(29) : 5->1] [15(28) : 5->1] [1(18) : 3->1] [30(17) : 3->4] [31(16) : 3->4] [23(15) : 3->1] [13(14) : 3->1] [7(13) : 3->1] [36(27) : 5->3] [36(27) : 3->0] [35(7) : 2->0] [31(16) : 4->5] [30(17) : 4->5] [28(24) : 4->5] [20(12) : 2->5] [12(11) : 2->5] [10(23) : 4->5] [8(36) : 6->5] [7(13) : 1->5] [6(22) : 4->5] [2(35) : 6->5] [34(34) : 6->3] [34(34) : 3->0] [33(25) : 5->0] [32(26) : 5->0] [31(16) : 5->0] [30(17) : 5->0] [24(21) : 4->1] [29(20) : 4->3] [29(20) : 3->0] [28(24) : 5->0] [27(8) : 2->0] [26(19) : 4->0] [25(10) : 2->4] [25(10) : 4->0] [24(21) : 1->4] [24(21) : 4->0] [13(14) : 1->2] [23(15) : 1->3] [23(15) : 3->0] [1(18) : 1->5] [15(28) : 1->3] [22(29) : 1->4] [22(29) : 4->0] [21(9) : 2->0] [20(12) : 5->0] [18(30) : 1->6] [19(6) : 1->4] [19(6) : 4->0] [18(30) : 6->4] [18(30) : 4->0] [17(1) : 1->0] [16(5) : 1->4] [16(5) : 4->0] [15(28) : 3->0] [5(33) : 6->2] [3(4) : 1->6] [14(3) : 1->3] [14(3) : 3->0] [13(14) : 2->0] [12(11) : 5->0] [11(31) : 6->0] [10(23) : 5->0] [9(2) : 1->0] [8(36) : 5->0] [7(13) : 5->0] [6(22) : 5->0] [5(33) : 2->0] [4(32) : 6->0] [3(4) : 6->0] [2(35) : 5->0] [1(18) : 5->0]
4,3,33,54,40,0.037,20,[36(31) : 6->0] [4(18) : 3->5] [13(17) : 3->5] [30(16) : 3->4] [35(15) : 3->5] [27(14) : 3->4] [14(13) : 3->4] [35(15) : 5->3] [35(15) : 3->0] [31(36) : 6->3] [20(35) : 6->3] [17(12) : 2->3] [16(11) : 2->3] [14(13) : 4->3] [13(17) : 5->3] [12(34) : 6->3] [34(33) : 6->4] [10(6) : 1->3] [7(32) : 6->3] [34(33) : 4->6] [34(33) : 6->0] [26(5) : 1->5] [18(4) : 1->5] [5(3) : 1->3] [33(2) : 1->6] [33(2) : 6->0] [32(10) : 2->6] [32(10) : 6->0] [31(36) : 3->0] [27(14) : 4->1] [30(16) : 4->6] [30(16) : 6->0] [29(1) : 1->0] [28(7) : 2->0] [27(14) : 1->0] [24(24) : 4->6] [23(9) : 2->6] [22(23) : 4->6] [18(4) : 5->6] [26(5) : 5->1] [26(5) : 1->0] [25(22) : 4->1] [25(22) : 1->0] [24(24) : 6->0] [23(9) : 6->0] [22(23) : 6->0] [19(21) : 4->5] [21(20) : 4->1] [21(20) : 1->0] [20(35) : 3->0] [19(21) : 5->1] [19(21) : 1->0] [18(4) : 6->0] [17(12) : 3->0] [16(11) : 3->0] [4(18) : 5->3] [9(30) : 5->6] [15(29) : 5->1] [15(29) : 1->0] [14(13) : 3->0] [13(17) : 3->0] [12(34) : 3->0] [8(28) : 5->6] [3(27) : 5->3] [11(26) : 5->1] [11(26) : 1->0] [10(6) : 3->0] [9(30) : 6->0] [8(28) : 6->0] [7(32) : 3->0] [6(25) : 5->0] [5(3) : 3->0] [4(18) : 3->0] [3(27) : 3->0] [2(19) : 4->0] [1(8) : 2->0]
4,4,32,51,41,0.076,20,[11(18) : 3->1] [33(17) : 3->6] [19(16) : 3->1] [25(15) : 3->1] [35(14) : 3->5] [17(13) : 3->1] [1(12) : 2->1] [7(11) : 2->1] [36(10) : 2->3] [36(10) : 3->0] [35(14) : 5->3] [35(14) : 3->0] [33(17) : 6->3] [24(30) : 5->3] [20(24) : 4->3] [15(23) : 4->3] [13(36) : 6->3] [7(11) : 1->3] [4(9) : 2->3] [22(8) : 2->1] [3(7) : 2->3] [34(29) : 5->2] [34(29) : 2->0] [33(17) : 3->0] [31(35) : 6->4] [32(34) : 6->2] [32(34) : 2->0] [2(28) : 5->3] [23(33) : 6->2] [16(27) : 5->6] [28(26) : 5->1] [9(25) : 5->6] [31(35) : 4->5] [31(35) : 5->0] [30(22) : 4->5] [30(22) : 5->0] [29(31) : 6->0] [28(26) : 1->5] [28(26) : 5->0] [27(21) : 4->5] [27(21) : 5->0] [26(1) : 1->0] [22(8) : 1->2] [1(12) : 1->3] [17(13) : 1->2] [25(15) : 1->5] [25(15) : 5->0] [24(30) : 3->0] [23(33) : 2->0] [22(8) : 2->0] [21(19) : 4->0] [20(24) : 3->0] [19(16) : 1->5] [19(16) : 5->0] [18(32) : 6->0] [17(13) : 2->0] [16(27) : 6->0] [15(23) : 3->0] [11(18) : 1->5] [10(6) : 1->5] [14(5) : 1->2] [14(5) : 2->0] [13(36) : 3->0] [6(4) : 1->4] [12(3) : 1->2] [12(3) : 2->0] [11(18) : 5->0] [10(6) : 5->0] [9(25) : 6->0] [8(20) : 4->0] [7(11) : 3->0] [6(4) : 4->0] [5(2) : 1->0] [4(9) : 3->0] [3(7) : 3->0] [2(28) : 3->0] [1(12) : 3->0]
4,5,30,40,36,0.003,20,[36(25) : 5->0] [35(26) : 5->0] [10(18) : 3->6] [12(17) : 3->6] [4(16) : 3->6] [34(15) : 3->6] [32(14) : 3->4] [13(13) : 3->1] [34(15) : 6->3] [34(15) : 3->0] [32(14) : 4->3] [31(24) : 4->3] [30(30) : 5->3] [27(29) : 5->3] [19(12) : 2->5] [25(11) : 2->3] [33(10) : 2->6] [17(9) : 2->5] [13(13) : 1->5] [6(8) : 2->5] [5(7) : 2->5] [33(10) : 6->2] [33(10) : 2->0] [32(14) : 3->0] [31(24) : 3->0] [30(30) : 3->0] [29(27) : 5->0] [4(16) : 6->5] [3(23) : 4->5] [21(22) : 4->3] [20(21) : 4->3] [28(20) : 4->2] [28(20) : 2->0] [27(29) : 3->0] [26(19) : 4->0] [25(11) : 3->0] [15(6) : 1->3] [12(17) : 6->3] [10(18) : 6->3] [8(5) : 1->3] [1(4) : 1->5] [18(3) : 1->2] [24(2) : 1->4] [24(2) : 4->0] [23(28) : 5->0] [22(1) : 1->0] [21(22) : 3->0] [20(21) : 3->0] [19(12) : 5->0] [18(3) : 2->0] [17(9) : 5->0] [14(36) : 6->2] [16(35) : 6->1] [16(35) : 1->0] [15(6) : 3->0] [14(36) : 2->0] [13(13) : 5->0] [12(17) : 3->0] [7(34) : 6->3] [2(33) : 6->3] [11(32) : 6->1] [11(32) : 1->0] [10(18) : 3->0] [9(31) : 6->0] [8(5) : 3->0] [7(34) : 3->0] [6(8) : 5->0] [5(7) : 5->0] [4(16) : 5->0] [3(23) : 5->0] [2(33) : 3->0] [1(4) : 5->0]
4,6,33,62,39,0.028,20,[12(12) : 2->5] [15(11) : 2->5] [36(10) : 2->5] [8(9) : 2->6] [33(8) : 2->1] [26(7) : 2->6] [36(10) : 5->2] [36(10) : 2->0] [35(31) : 6->0] [33(8) : 1->2] [31(24) : 4->2] [26(7) : 6->2] [20(18) : 3->2] [15(11) : 5->2] [13(17) : 3->2] [12(12) : 5->2] [11(16) : 3->2] [10(23) : 4->2] [21(22) : 4->5] [9(15) : 3->2] [8(9) : 6->2] [5(21) : 4->2] [29(20) : 4->5] [4(6) : 1->2] [1(19) : 4->2] [34(14) : 3->4] [34(14) : 4->0] [33(8) : 2->0] [30(36) : 6->4] [29(20) : 5->4] [28(5) : 1->4] [21(22) : 5->3] [17(35) : 6->3] [16(4) : 1->3] [6(34) : 6->3] [23(30) : 5->4] [7(33) : 6->4] [2(32) : 6->3] [32(3) : 1->6] [32(3) : 6->0] [31(24) : 2->0] [30(36) : 4->0] [29(20) : 4->0] [28(5) : 4->0] [27(13) : 3->0] [26(7) : 2->0] [25(2) : 1->6] [25(2) : 6->0] [24(29) : 5->6] [24(29) : 6->0] [23(30) : 4->0] [22(28) : 5->6] [22(28) : 6->0] [21(22) : 3->0] [20(18) : 2->0] [19(1) : 1->0] [18(25) : 5->0] [17(35) : 3->0] [16(4) : 3->0] [15(11) : 2->0] [14(27) : 5->1] [14(27) : 1->0] [13(17) : 2->0] [12(12) : 2->0] [11(16) : 2->0] [10(23) : 2->0] [9(15) : 2->0] [8(9) : 2->0] [7(33) : 4->0] [6(34) : 3->0] [5(21) : 2->0] [4(6) : 2->0] [3(26) : 5->0] [2(32) : 3->0] [1(19) : 2->0]
4,7,24,63,35,0.052000000000000005,20,[13(18) : 3->1] [17(17) : 3->1] [5(16) : 3->1] [30(15) : 3->4] [34(14) : 3->4] [12(13) : 3->1] [36(12) : 2->3] [36(12) : 3->0] [27(30) : 5->2] [26(29) : 5->6] [35(28) : 5->3] [35(28) : 3->0] [34(14) : 4->3] [34(14) : 3->0] [33(7) : 2->0] [32(1) : 1->0] [31(2) : 1->0] [30(15) : 4->3] [30(15) : 3->0] [27(30) : 2->3] [26(29) : 6->3] [12(13) : 1->3] [10(36) : 6->3] [6(27) : 5->3] [5(16) : 1->3] [4(11) : 2->3] [19(10) : 2->1] [25(9) : 2->6] [3(24) : 4->3] [9(23) : 4->1] [2(8) : 2->3] [29(22) : 4->2] [29(22) : 2->0] [28(26) : 5->2] [28(26) : 2->0] [27(30) : 3->0] [26(29) : 3->0] [25(9) : 6->2] [25(9) : 2->0] [24(25) : 5->0] [23(31) : 6->0] [22(3) : 1->0] [21(19) : 4->0] [20(35) : 6->5] [20(35) : 5->0] [14(34) : 6->2] [9(23) : 1->2] [19(10) : 1->5] [19(10) : 5->0] [18(20) : 4->0] [17(17) : 1->5] [17(17) : 5->0] [16(4) : 1->0] [15(33) : 6->5] [15(33) : 5->0] [14(34) : 2->0] [13(18) : 1->5] [13(18) : 5->0] [12(13) : 3->0] [11(32) : 6->0] [10(36) : 3->0] [9(23) : 2->0] [8(6) : 1->6] [8(6) : 6->0] [7(5) : 1->0] [6(27) : 3->0] [5(16) : 3->0] [4(11) : 3->0] [3(24) : 3->0] [2(8) : 3->0] [1(21) : 4->0]
4,8,25,42,36,0.029,20,[21(36) : 6->2] [1(35) : 6->3] [36(34) : 6->2] [14(33) : 6->3] [31(32) : 6->4] [5(31) : 6->3] [36(34) : 2->6] [36(34) : 6->0] [26(6) : 1->2] [23(5) : 1->3] [30(4) : 1->2] [35(3) : 1->6] [35(3) : 6->0] [31(32) : 4->6] [30(4) : 2->6] [27(2) : 1->6] [26(6) : 2->6] [23(5) : 3->6] [21(36) : 2->6] [18(30) : 5->6] [15(12) : 2->6] [13(1) : 1->6] [7(24) : 4->6] [5(31) : 3->6] [2(29) : 5->6] [20(28) : 5->2] [34(27) : 5->1] [34(27) : 1->0] [33(13) : 3->0] [32(7) : 2->0] [31(32) : 6->0] [30(4) : 6->0] [29(14) : 3->0] [20(28) : 2->1] [19(11) : 2->1] [14(33) : 3->1] [12(23) : 4->1] [11(26) : 5->1] [10(10) : 2->1] [9(22) : 4->1] [8(25) : 5->1] [28(21) : 4->5] [28(21) : 5->0] [27(2) : 6->0] [26(6) : 6->0] [25(15) : 3->0] [24(19) : 4->0] [23(5) : 6->0] [22(8) : 2->0] [21(36) : 6->0] [20(28) : 1->0] [19(11) : 1->0] [18(30) : 6->0] [17(16) : 3->0] [16(20) : 4->0] [15(12) : 6->0] [14(33) : 1->0] [13(1) : 6->0] [12(23) : 1->0] [11(26) : 1->0] [10(10) : 1->0] [9(22) : 1->0] [8(25) : 1->0] [7(24) : 6->0] [6(9) : 2->0] [5(31) : 6->0] [1(35) : 3->6] [4(18) : 3->5] [4(18) : 5->0] [3(17) : 3->0] [2(29) : 6->0] [1(35) : 6->0]
4,9,26,40,36,0.043000000000000003,20,[28(30) : 5->3] [21(12) : 2->1] [25(11) : 2->1] [19(10) : 2->1] [27(9) : 2->1] [33(8) : 2->6] [13(7) : 2->1] [1(29) : 5->1] [35(28) : 5->6] [36(27) : 5->2] [36(27) : 2->0] [35(28) : 6->2] [35(28) : 2->0] [34(19) : 4->0] [33(8) : 6->2] [33(8) : 2->0] [31(24) : 4->2] [29(36) : 6->2] [28(30) : 3->2] [24(18) : 3->2] [22(26) : 5->2] [20(25) : 5->2] [32(35) : 6->5] [32(35) : 5->0] [31(24) : 2->0] [30(13) : 3->0] [29(36) : 2->0] [28(30) : 2->0] [1(29) : 1->3] [15(23) : 4->2] [13(7) : 1->2] [27(9) : 1->5] [27(9) : 5->0] [26(34) : 6->5] [26(34) : 5->0] [19(10) : 1->4] [25(11) : 1->5] [25(11) : 5->0] [24(18) : 2->0] [23(1) : 1->0] [22(26) : 2->0] [21(12) : 1->5] [21(12) : 5->0] [20(25) : 2->0] [19(10) : 4->5] [19(10) : 5->0] [18(14) : 3->0] [17(15) : 3->0] [7(33) : 6->2] [5(22) : 4->2] [16(21) : 4->5] [16(21) : 5->0] [15(23) : 2->0] [14(16) : 3->0] [13(7) : 2->0] [12(20) : 4->0] [11(32) : 6->4] [11(32) : 4->0] [2(6) : 1->2] [8(5) : 1->6] [6(4) : 1->6] [10(3) : 1->4] [10(3) : 4->0] [9(31) : 6->0] [8(5) : 6->0] [7(33) : 2->0] [6(4) : 6->0] [5(22) : 2->0] [4(2) : 1->0] [3(17) : 3->0] [2(6) : 2->0] [1(29) : 3->0]
4,10,26,49,38,0.08,20,[1(6) : 1->4] [29(5) : 1->4] [10(4) : 1->4] [5(3) : 1->4] [18(2) : 1->4] [6(1) : 1->4] [36(18) : 3->1] [36(18) : 1->0] [34(12) : 2->1] [20(30) : 5->1] [17(36) : 6->1] [14(11) : 2->1] [8(10) : 2->1] [24(9) : 2->3] [15(8) : 2->3] [7(29) : 5->1] [6(1) : 4->1] [4(7) : 2->1] [35(28) : 5->2] [35(28) : 2->0] [34(12) : 1->0] [25(35) : 6->2] [33(34) : 6->4] [11(33) : 6->5] [2(32) : 6->1] [22(31) : 6->2] [33(34) : 4->6] [33(34) : 6->0] [32(19) : 4->0] [18(2) : 4->2] [5(3) : 4->5] [15(8) : 3->2] [10(4) : 4->2] [29(5) : 4->3] [1(6) : 4->1] [31(24) : 4->6] [31(24) : 6->0] [30(20) : 4->0] [29(5) : 3->6] [29(5) : 6->0] [28(25) : 5->0] [27(13) : 3->0] [24(9) : 3->4] [3(17) : 3->5] [26(16) : 3->6] [26(16) : 6->0] [25(35) : 2->0] [24(9) : 4->6] [24(9) : 6->0] [23(15) : 3->6] [23(15) : 6->0] [22(31) : 2->0] [21(23) : 4->6] [21(23) : 6->0] [20(30) : 1->0] [19(21) : 4->0] [18(2) : 2->0] [17(36) : 1->0] [16(26) : 5->0] [15(8) : 2->0] [14(11) : 1->0] [13(27) : 5->0] [12(22) : 4->0] [11(33) : 5->0] [10(4) : 2->0] [9(14) : 3->0] [8(10) : 1->0] [7(29) : 1->0] [6(1) : 1->0] [5(3) : 5->0] [4(7) : 1->0] [3(17) : 5->0] [2(32) : 1->0] [1(6) : 1->0]
