Group,Case,Move,Time,Iteration
1,1,29,2,0
1,2,29,4,0
1,3,29,2,0
1,4,29,1,0
1,5,29,2,0
1,6,29,1,0
1,7,29,2,0
1,8,29,2,0
1,9,29,1,0
1,10,29,1,0
1,11,31,1736,27
1,12,29,0,0
1,13,29,2,0
1,14,29,2,0
1,15,29,1,0
1,16,29,2,0
1,17,29,2,0
1,18,29,5,1
1,19,29,1,0
1,20,29,2,0
2,1,36,1,0
2,2,36,1,0
2,3,36,1,0
2,4,36,1,0
2,5,36,1,0
2,6,36,1,0
2,7,36,2,0
2,8,36,1,0
2,9,36,1,0
2,10,36,1,0
2,11,36,1,0
2,12,36,2,0
2,13,36,2,0
2,14,36,2,0
2,15,36,1,0
2,16,36,2,0
2,17,36,2,0
2,18,36,1,0
2,19,36,2,0
2,20,36,1,0
3,1,29,1,0
3,2,29,1,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,2,0
3,8,29,2,0
3,9,29,2,0
3,10,29,1,0
3,11,29,1,0
3,12,29,1,0
3,13,29,1,0
3,14,30,1147,21
3,15,29,1,0
3,16,29,1,0
3,17,29,22,2
3,18,29,1,0
3,19,30,682,17
3,20,29,9,1
4,1,36,1,0
4,2,36,1,0
4,3,36,1,0
4,4,36,2,0
4,5,36,1,0
4,6,36,1,0
4,7,36,0,0
4,8,36,1,0
4,9,36,1,0
4,10,36,1,0
4,11,36,1,0
4,12,36,3,1
4,13,36,7,1
4,14,36,1,0
4,15,36,1,0
4,16,36,1,0
4,17,36,1,0
4,18,36,1,0
4,19,36,1,0
4,20,36,1,0
5,1,44,5004,41
5,2,42,2279,26
5,3,40,2557,26
5,4,40,2225,30
5,5,42,3553,35
5,6,42,3135,32
5,7,41,3833,34
5,8,42,3795,33
5,9,43,3009,33
5,10,39,62,2
5,11,43,2978,34
5,12,42,3648,35
5,13,41,3409,35
5,14,43,3121,29
5,15,42,2996,32
5,16,41,3433,27
5,17,43,3372,34
5,18,46,6672,43
5,19,40,1680,20
5,20,42,2930,27
6,1,50,4433,41
6,2,49,4151,41
6,3,50,4648,46
6,4,52,6074,45
6,5,51,4962,39
6,6,51,4052,34
6,7,51,5764,46
6,8,49,3250,36
6,9,49,3442,41
6,10,49,3491,38
6,11,51,6256,47
6,12,52,4296,37
6,13,52,4604,38
6,14,49,3097,33
6,15,50,3152,26
6,16,53,6385,50
6,17,51,4799,45
6,18,51,4867,45
6,19,50,4173,39
6,20,50,3553,33
7,1,42,4571,36
7,2,45,4215,38
7,3,48,5653,38
7,4,41,4640,36
7,5,45,4257,33
7,6,44,4771,37
7,7,44,4033,33
7,8,42,3401,30
7,9,43,4781,37
7,10,46,5332,40
7,11,44,4996,34
7,12,43,4812,36
7,13,44,5277,41
7,14,40,2080,21
7,15,42,3754,39
7,16,42,4770,37
7,17,44,6441,42
7,18,43,6790,42
7,19,42,2684,32
7,20,43,5064,36
8,1,53,6466,46
8,2,50,4155,37
8,3,52,5992,45
8,4,50,4926,34
8,5,48,7,1
8,6,52,6747,43
8,7,52,6462,45
8,8,53,5694,40
8,9,51,5970,44
8,10,52,7382,51
8,11,51,5274,46
8,12,54,5850,45
8,13,53,5286,37
8,14,50,5372,43
8,15,50,4549,37
8,16,52,6012,45
8,17,50,6331,44
8,18,51,5957,46
8,19,55,7590,49
8,20,51,4197,32
9,1,51,5052,40
9,2,50,5971,39
9,3,52,6587,40
9,4,49,3241,29
9,5,52,6887,43
9,6,53,6631,45
9,7,54,9044,43
9,8,55,8931,46
9,9,52,6644,35
9,10,50,6000,39
9,11,52,5326,36
9,12,49,4214,35
9,13,50,3192,25
9,14,51,5791,32
9,15,52,3854,20
9,16,52,7178,35
9,17,51,7699,42
9,18,49,3342,32
9,19,54,9851,50
9,20,51,6857,41
10,1,62,9081,53
10,2,58,2,0
10,3,58,16,1
10,4,62,7570,53
10,5,60,7589,52
10,6,60,7796,44
10,7,58,2,0
10,8,58,424,4
10,9,61,7827,44
10,10,60,7251,46
10,11,61,7182,44
10,12,60,6648,44
10,13,58,38,1
10,14,59,4517,39
10,15,59,5135,38
10,16,58,296,3
10,17,60,3988,18
10,18,59,4804,38
10,19,59,6211,42
10,20,58,15,1
11,1,57,8320,41
11,2,53,7464,40
11,3,50,5884,30
11,4,52,9002,42
11,5,50,5659,35
11,6,53,6610,39
11,7,52,5023,37
11,8,53,7304,42
11,9,53,6901,42
11,10,50,3874,32
11,11,53,8370,43
11,12,50,5966,38
11,13,51,8085,40
11,14,52,7749,42
11,15,52,9215,42
11,16,51,7832,41
11,17,51,5309,40
11,18,49,6546,41
11,19,51,4363,35
11,20,53,7213,43
12,1,60,11197,49
12,2,59,5971,38
