Group,Case,Move,Time,Iteration
1,1,29,2,0
1,2,29,2,0
1,3,29,2,0
1,4,29,2,0
1,5,29,2,0
1,6,29,1,0
1,7,29,1,0
1,8,29,1,0
1,9,29,1,0
1,10,29,1,0
1,11,31,2654,27
1,12,29,1,0
1,13,29,2,0
1,14,29,1,0
1,15,29,2,0
1,16,29,2,0
1,17,29,1,0
1,18,29,3,1
1,19,29,1,0
1,20,29,1,0
2,1,36,1,0
2,2,36,2,0
2,3,36,2,0
2,4,36,2,0
2,5,36,2,0
2,6,36,1,0
2,7,36,1,0
2,8,36,1,0
2,9,36,0,0
2,10,36,1,0
2,11,36,1,0
2,12,36,1,0
2,13,36,1,0
2,14,36,1,0
2,15,36,1,0
2,16,36,2,0
2,17,36,1,0
2,18,36,1,0
2,19,36,1,0
2,20,36,1,0
3,1,29,1,0
3,2,29,0,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,1,0
3,8,29,1,0
3,9,29,1,0
3,10,29,1,0
3,11,29,1,0
3,12,29,1,0
3,13,29,1,0
3,14,30,1804,22
3,15,29,1,0
3,16,29,1,0
3,17,29,23,2
3,18,29,1,0
3,19,30,1225,19
3,20,29,9,1
4,1,36,1,0
4,2,36,2,0
4,3,36,0,0
4,4,36,2,0
4,5,36,2,0
4,6,36,1,0
4,7,36,1,0
4,8,36,1,0
4,9,36,1,0
4,10,36,1,0
4,11,36,1,0
4,12,36,3,1
4,13,36,12,1
4,14,36,2,0
4,15,36,2,0
4,16,36,1,0
4,17,36,1,0
4,18,36,1,0
4,19,36,1,0
4,20,36,1,0
5,1,44,11256,42
5,2,41,4907,26
5,3,40,4998,27
5,4,40,4341,30
5,5,42,6878,32
5,6,42,6714,37
5,7,41,7035,30
5,8,42,7543,33
5,9,43,5881,30
5,10,39,60,2
5,11,43,5754,33
5,12,42,7846,35
5,13,41,6472,35
5,14,43,5832,30
5,15,41,4998,30
5,16,41,6221,31
5,17,43,6925,34
5,18,46,12521,45
5,19,40,4624,27
5,20,40,2437,14
6,1,50,9417,44
6,2,49,8549,43
6,3,50,9169,44
6,4,50,9024,36
6,5,50,8334,38
6,6,51,11428,47
6,7,51,11153,47
6,8,49,5679,31
6,9,49,7098,42
6,10,50,7702,41
6,11,50,9501,34
6,12,52,10725,49
6,13,51,11473,48
6,14,49,6510,37
6,15,49,4480,25
6,16,53,12522,48
6,17,51,9310,43
6,18,51,9789,46
6,19,50,9580,45
6,20,50,8236,43
7,1,41,7341,32
7,2,44,8617,41
7,3,48,12254,45
7,4,41,8855,31
7,5,46,10973,41
7,6,44,6336,29
7,7,44,8050,34
7,8,42,7466,36
7,9,43,10410,38
7,10,45,12178,41
7,11,44,7878,36
7,12,43,8489,36
7,13,43,10338,40
7,14,40,4186,21
7,15,41,5416,29
7,16,42,8215,33
7,17,44,10791,39
7,18,43,12848,42
7,19,41,5640,32
7,20,43,8382,37
8,1,53,10400,43
8,2,50,7947,37
8,3,54,12250,44
8,4,49,6894,36
8,5,48,7,1
8,6,52,12708,48
8,7,52,12454,45
8,8,53,12648,40
8,9,51,12151,45
8,10,52,14153,50
8,11,52,11344,47
8,12,53,10369,37
8,13,52,11539,50
8,14,49,9541,33
8,15,50,9510,42
8,16,51,10942,36
8,17,50,11275,43
8,18,50,4649,25
8,19,55,15604,52
8,20,50,8156,33
9,1,51,8948,37
9,2,50,12714,39
9,3,52,12427,42
9,4,49,6112,29
9,5,52,10597,36
9,6,53,12959,46
9,7,54,19501,50
9,8,53,17278,47
9,9,52,12680,43
9,10,50,11646,39
9,11,51,9772,39
9,12,49,9928,37
9,13,50,8806,34
9,14,50,10314,42
9,15,53,9572,32
9,16,52,14349,51
9,17,51,13612,38
9,18,49,6283,32
9,19,53,15395,49
9,20,52,13123,41
10,1,63,21261,59
10,2,58,3,0
10,3,58,16,1
10,4,60,11104,42
10,5,60,14453,53
10,6,60,15472,52
10,7,58,3,0
10,8,58,1309,6
10,9,61,15556,48
10,10,60,12711,43
10,11,60,15087,44
10,12,60,13350,48
10,13,58,42,1
10,14,59,9716,41
10,15,59,9426,36
10,16,58,40,2
10,17,61,14875,50
10,18,59,8884,35
10,19,59,11756,41
10,20,58,12,1
11,1,57,15275,41
11,2,52,12352,32
11,3,50,11946,38
11,4,52,16001,41
11,5,49,9012,32
11,6,53,15046,42
11,7,52,11035,38
11,8,53,13767,43
11,9,53,13280,45
11,10,50,8551,35
11,11,53,15337,43
11,12,49,10392,42
11,13,51,10551,34
11,14,52,14737,41
11,15,52,17610,45
11,16,51,15853,46
11,17,51,9966,40
11,18,49,13344,44
11,19,50,8629,35
11,20,53,13393,41
12,1,59,12268,48
12,2,59,12578,43
12,3,58,2500,7
12,4,59,11347,37
12,5,59,14971,49
12,6,60,11891,42
12,7,59,12530,47
12,8,60,14833,43
12,9,58,609,3
12,10,58,179,2
12,11,60,15959,46
12,12,58,484,3
12,13,59,13204,48
12,14,58,141,2
12,15,60,14640,50
12,16,62,20207,56
12,17,60,12521,44
12,18,59,12736,45
12,19,58,50,1
12,20,60,14405,50
13,1,76,46717,61
13,2,83,54118,76
13,3,83,57964,73
13,4,85,54645,73
13,5,83,61434,80
13,6,83,61000,78
13,7,74,43785,66
13,8,79,49005,70
13,9,81,53057,68
13,10,78,46346,58
13,11,74,50986,68
13,12,81,67240,77
13,13,79,52858,74
13,14,78,60138,70
13,15,83,55016,76
13,16,75,53769,65
13,17,76,48227,61
13,18,80,59552,73
13,19,85,72915,82
13,20,82,54372,71
14,1,106,59195,82
14,2,99,58779,92
14,3,88,57680,74
14,4,97,50526,69
14,5,100,65829,87
14,6,94,53977,84
14,7,90,59357,81
14,8,92,67780,81
14,9,93,57654,82
14,10,94,67839,85
14,11,88,54521,82
14,12,99,70532,89
14,13,106,67123,96
14,14,95,55928,72
14,15,92,54354,81
14,16,101,74976,95
14,17,91,60176,89
14,18,94,51064,66
14,19,98,62997,84
14,20,94,56857,77
15,1,75,68067,69
15,2,89,70308,77
15,3,75,69556,72
15,4,85,68436,78
15,5,81,62485,75
15,6,81,65069,74
15,7,75,52731,59
15,8,87,74800,76
15,9,73,56457,64
15,10,78,57055,67
15,11,76,42425,56
15,12,80,61769,74
15,13,81,56611,69
