Group,Case,Move,Time,Iteration
1,1,29,53,0
1,2,29,7,0
1,3,29,1,0
1,4,29,4,0
1,5,29,3,0
1,6,29,3,0
1,7,29,2,0
1,8,29,3,0
1,9,29,3,0
1,10,29,2,0
1,11,31,6735,27
1,12,29,1,0
1,13,29,1,0
1,14,29,1,0
1,15,29,1,0
1,16,29,1,0
1,17,29,1,0
1,18,29,3,1
1,19,29,1,0
1,20,29,2,0
2,1,36,1,0
2,2,36,2,0
2,3,36,1,0
2,4,36,1,0
2,5,36,1,0
2,6,36,2,0
2,7,36,2,0
2,8,36,1,0
2,9,36,0,0
2,10,36,1,0
2,11,36,1,0
2,12,36,1,0
2,13,36,2,0
2,14,36,1,0
2,15,36,1,0
2,16,36,1,0
2,17,36,1,0
2,18,36,2,0
2,19,36,1,0
2,20,36,1,0
3,1,29,1,0
3,2,29,1,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,1,0
3,8,29,1,0
3,9,29,1,0
3,10,29,2,0
3,11,29,2,0
3,12,29,1,0
3,13,29,2,0
3,14,30,4096,22
3,15,29,2,0
3,16,29,1,0
3,17,29,33,2
3,18,29,2,0
3,19,30,4275,24
3,20,29,9,1
4,1,36,1,0
4,2,36,1,0
4,3,36,1,0
4,4,36,1,0
4,5,36,2,0
4,6,36,1,0
4,7,36,1,0
4,8,36,1,0
4,9,36,2,0
4,10,36,1,0
4,11,36,2,0
4,12,36,5,1
4,13,36,9,1
4,14,36,2,0
4,15,36,1,0
4,16,36,1,0
4,17,36,1,0
4,18,36,1,0
4,19,36,1,0
4,20,36,2,0
5,1,43,23858,38
5,2,42,19394,38
5,3,40,14381,32
5,4,40,11859,27
5,5,41,16259,33
5,6,42,19306,33
5,7,41,20600,32
5,8,42,20960,34
5,9,42,16309,35
5,10,39,94,2
5,11,43,16542,35
5,12,41,19749,35
5,13,42,25358,36
5,14,41,13524,27
5,15,41,14388,32
5,16,41,20055,36
5,17,43,18792,34
5,18,45,27059,40
5,19,40,15552,38
5,20,40,5961,15
6,1,50,24884,42
6,2,49,19276,40
6,3,50,25722,45
6,4,50,24790,36
6,5,50,20548,33
6,6,51,20834,30
6,7,50,27258,42
6,8,49,20000,41
6,9,49,19040,39
6,10,49,20463,40
6,11,50,24488,34
6,12,50,24981,43
6,13,51,29076,48
6,14,49,17434,34
6,15,49,12573,21
6,16,53,38265,50
6,17,51,25726,42
6,18,51,26461,45
6,19,49,19116,31
6,20,50,23231,42
7,1,42,27455,39
7,2,44,20962,35
7,3,48,36929,44
7,4,40,18461,32
7,5,44,28598,41
7,6,44,18388,29
7,7,44,23487,34
7,8,42,19647,31
7,9,43,30177,38
7,10,45,32461,41
7,11,44,27179,40
7,12,42,24306,36
7,13,43,24601,37
7,14,40,11814,25
7,15,41,12255,30
7,16,41,18074,29
7,17,44,25158,39
7,18,43,33817,42
7,19,41,14386,32
7,20,43,23276,37
8,1,53,34279,44
8,2,50,24059,41
8,3,52,34635,47
8,4,49,18716,37
8,5,48,7,1
8,6,52,34580,49
8,7,51,26561,43
8,8,52,29741,40
8,9,51,33569,46
8,10,51,35181,43
8,11,50,24324,39
8,12,51,24029,38
8,13,51,35165,44
8,14,49,21646,37
8,15,50,28135,44
8,16,51,22443,32
8,17,50,34618,44
8,18,50,15864,30
8,19,53,32790,47
8,20,50,22727,33
9,1,51,25066,37
9,2,50,33895,44
9,3,51,28580,40
