Group,Case,Move,Time,Iteration
1,1,29,1,0
1,2,29,1,0
1,3,29,0,0
1,4,29,1,0
1,5,29,1,0
1,6,29,1,0
1,7,29,0,0
1,8,29,1,0
1,9,29,1,0
1,10,29,0,0
1,11,31,2698,27
1,12,29,1,0
1,13,29,1,0
1,14,29,1,0
1,15,29,1,0
1,16,29,1,0
1,17,29,1,0
1,18,29,3,1
1,19,29,1,0
1,20,29,1,0
2,1,36,1,0
2,2,36,1,0
2,3,36,1,0
2,4,36,1,0
2,5,36,1,0
2,6,36,1,0
2,7,36,1,0
2,8,36,1,0
2,9,36,1,0
2,10,36,0,0
2,11,36,1,0
2,12,36,1,0
2,13,36,1,0
2,14,36,1,0
2,15,36,0,0
2,16,36,1,0
2,17,36,1,0
2,18,36,1,0
2,19,36,1,0
2,20,36,1,0
3,1,29,1,0
3,2,29,1,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,1,0
3,8,29,1,0
3,9,29,1,0
3,10,29,1,0
3,11,29,1,0
3,12,29,1,0
3,13,29,1,0
3,14,30,1982,22
3,15,29,1,0
3,16,29,1,0
3,17,29,23,2
3,18,29,1,0
3,19,30,1594,21
3,20,29,9,1
4,1,36,1,0
4,2,36,1,0
4,3,36,1,0
4,4,36,1,0
4,5,36,1,0
4,6,36,1,0
4,7,36,1,0
4,8,36,1,0
4,9,36,1,0
4,10,36,1,0
4,11,36,0,0
4,12,36,3,1
4,13,36,6,1
4,14,36,1,0
4,15,36,1,0
4,16,36,1,0
4,17,36,1,0
4,18,36,1,0
4,19,36,1,0
4,20,36,1,0
5,1,44,11817,42
5,2,41,5184,26
5,3,40,5420,27
5,4,40,4707,30
5,5,41,7234,36
5,6,42,7281,37
5,7,41,7755,30
5,8,42,6853,31
5,9,43,6418,33
5,10,39,60,2
5,11,43,6509,37
5,12,42,8519,33
5,13,41,7247,35
5,14,41,5780,34
5,15,41,5406,32
5,16,41,6710,31
5,17,43,7305,36
5,18,46,13891,45
5,19,40,4494,30
5,20,40,2611,14
6,1,51,9739,40
6,2,50,9165,44
6,3,50,9948,45
6,4,50,9437,37
6,5,50,7992,33
6,6,52,8389,31
6,7,51,13130,49
6,8,49,7761,42
6,9,49,7674,43
6,10,50,8471,42
6,11,50,10377,46
6,12,51,11027,45
6,13,51,11345,42
6,14,49,6924,37
6,15,50,8677,41
6,16,53,13306,48
6,17,51,10053,43
6,18,51,10152,45
6,19,50,10525,43
6,20,49,6499,33
7,1,42,10768,39
7,2,44,9160,40
7,3,48,13088,46
7,4,40,7647,32
7,5,44,11020,41
7,6,44,6893,29
7,7,44,8720,34
7,8,42,7435,31
7,9,43,11044,38
7,10,45,12941,41
7,11,44,9896,39
7,12,42,9639,35
7,13,43,11081,37
7,14,40,4448,21
7,15,41,5702,29
7,16,42,8961,33
7,17,44,11577,39
7,18,43,13637,41
7,19,41,6139,32
7,20,43,9069,37
8,1,52,12120,45
8,2,51,12354,42
8,3,52,14393,48
8,4,49,7771,37
8,5,48,7,1
8,6,52,13720,48
8,7,52,13450,45
8,8,52,12614,46
8,9,51,13013,46
8,10,52,14637,50
