Group,Case,Move,Time,Iteration
1,1,29,1,0
1,2,29,1,0
1,3,29,1,0
1,4,29,1,0
1,5,29,1,0
1,6,29,1,0
1,7,29,1,0
1,8,29,2,0
1,9,29,1,0
1,10,29,1,0
1,11,31,835,27
1,12,29,1,0
1,13,29,1,0
1,14,29,1,0
1,15,29,1,0
1,16,29,1,0
1,17,29,1,0
1,18,29,5,1
1,19,29,2,0
1,20,29,2,0
2,1,36,1,0
2,2,36,1,0
2,3,36,0,0
2,4,36,1,0
2,5,36,1,0
2,6,36,1,0
2,7,36,1,0
2,8,36,2,0
2,9,36,2,0
2,10,36,2,0
2,11,36,1,0
2,12,36,2,0
2,13,36,1,0
2,14,36,1,0
2,15,36,1,0
2,16,36,1,0
2,17,36,1,0
2,18,36,1,0
2,19,36,1,0
2,20,36,1,0
3,1,29,1,0
3,2,29,2,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,1,0
3,8,29,2,0
3,9,29,2,0
3,10,29,1,0
3,11,29,1,0
3,12,29,1,0
3,13,29,1,0
3,14,30,558,21
3,15,29,1,0
3,16,29,2,0
3,17,29,23,2
3,18,29,1,0
3,19,30,440,17
3,20,29,11,1
4,1,36,1,0
4,2,36,2,0
4,3,36,1,0
4,4,36,1,0
4,5,36,1,0
4,6,36,1,0
4,7,36,1,0
4,8,36,1,0
4,9,36,1,0
4,10,36,1,0
4,11,36,1,0
4,12,36,3,1
4,13,36,7,1
4,14,36,1,0
4,15,36,1,0
4,16,36,1,0
4,17,36,1,0
4,18,36,1,0
4,19,36,1,0
4,20,36,1,0
5,1,44,2779,38
5,2,43,1551,32
5,3,40,1351,30
5,4,40,1047,23
5,5,42,1809,36
5,6,42,1604,35
5,7,41,1765,31
5,8,42,1988,33
5,9,43,1655,40
5,10,39,68,2
5,11,44,2243,33
5,12,42,1934,34
5,13,42,2062,35
5,14,42,1332,22
5,15,42,1363,27
5,16,41,2108,37
5,17,43,1815,33
5,18,46,3226,44
5,19,40,1006,25
5,20,43,1597,25
6,1,50,2320,44
6,2,50,2188,44
6,3,50,2245,39
6,4,52,2662,46
6,5,52,2713,35
6,6,51,2011,32
6,7,52,2227,36
6,8,49,1915,35
6,9,49,1676,38
6,10,50,2070,36
6,11,50,2180,34
6,12,52,2701,46
6,13,52,3036,46
6,14,49,1729,34
6,15,49,1279,25
6,16,55,3462,50
6,17,52,2762,40
6,18,52,2554,42
6,19,51,2075,35
6,20,50,2101,39
7,1,42,2616,36
7,2,45,2214,38
7,3,49,3290,43
7,4,41,2454,37
7,5,46,2710,35
7,6,44,2722,41
7,7,44,2258,34
7,8,42,2073,33
7,9,43,2347,37
7,10,47,3266,46
7,11,44,1934,33
7,12,43,2124,30
7,13,44,3136,42
7,14,40,1208,25
7,15,42,1429,25
7,16,41,2026,35
7,17,45,2895,39
7,18,43,2818,38
7,19,42,1558,35
7,20,43,2491,39
8,1,52,2757,41
8,2,51,2972,48
8,3,51,3357,46
8,4,51,2701,43
8,5,48,7,1
8,6,54,3874,52
8,7,53,3675,46
8,8,54,3156,41
8,9,52,3309,46
8,10,52,3761,51
