Group,Case,Move,Time,Iteration
1,1,29,1,0
1,2,29,1,0
1,3,29,0,0
1,4,29,1,0
1,5,29,1,0
1,6,29,1,0
1,7,29,1,0
1,8,29,1,0
1,9,29,1,0
1,10,29,1,0
1,11,31,2177,28
1,12,29,1,0
1,13,29,1,0
1,14,29,1,0
1,15,29,0,0
1,16,29,1,0
1,17,29,1,0
1,18,29,3,1
1,19,29,1,0
1,20,29,1,0
2,1,36,1,0
2,2,36,1,0
2,3,36,1,0
2,4,36,1,0
2,5,36,1,0
2,6,36,1,0
2,7,36,1,0
2,8,36,1,0
2,9,36,1,0
2,10,36,2,0
2,11,36,2,0
2,12,36,1,0
2,13,36,1,0
2,14,36,1,0
2,15,36,1,0
2,16,36,1,0
2,17,36,1,0
2,18,36,1,0
2,19,36,1,0
2,20,36,1,0
3,1,29,1,0
3,2,29,1,0
3,3,29,2,1
3,4,29,1,0
3,5,29,1,0
3,6,29,1,0
3,7,29,2,0
3,8,29,2,0
3,9,29,2,0
3,10,29,2,0
3,11,29,2,0
3,12,29,2,0
3,13,29,2,0
3,14,30,1345,22
3,15,29,1,0
3,16,29,1,0
3,17,29,27,2
3,18,29,1,0
3,19,30,935,19
3,20,29,9,1
4,1,36,1,0
4,2,36,1,0
4,3,36,2,0
4,4,36,1,0
4,5,36,2,0
4,6,36,1,0
4,7,36,1,0
4,8,36,1,0
4,9,36,1,0
4,10,36,1,0
4,11,36,1,0
4,12,36,3,1
4,13,36,12,1
4,14,36,1,0
4,15,36,2,0
4,16,36,1,0
4,17,36,1,0
4,18,36,2,0
4,19,36,1,0
4,20,36,1,0
5,1,44,8112,40
5,2,42,5820,38
5,3,40,4058,27
5,4,40,2829,24
5,5,41,4349,32
5,6,42,5239,37
5,7,41,5416,30
5,8,42,5841,34
5,9,43,3926,27
5,10,39,58,2
5,11,43,4202,32
5,12,41,4377,32
5,13,41,4836,35
5,14,42,4416,35
5,15,41,3842,30
5,16,41,5767,39
5,17,43,5187,34
5,18,46,9243,44
5,19,40,3360,27
5,20,42,3993,25
6,1,50,6123,36
6,2,50,5897,42
6,3,50,6830,44
6,4,51,7273,41
6,5,50,6258,37
6,6,52,9357,48
6,7,51,9102,47
6,8,49,4893,37
6,9,49,5219,40
6,10,49,5180,38
6,11,50,7060,34
6,12,52,8127,45
6,13,52,7817,46
6,14,49,4822,36
6,15,50,5465,30
6,16,53,9530,48
6,17,51,6925,43
6,18,51,7474,45
6,19,50,7453,44
6,20,50,5159,30
7,1,41,5487,32
7,2,45,6332,37
7,3,48,8557,39
7,4,41,6877,36
7,5,46,8963,41
7,6,44,4746,27
7,7,44,6163,33
7,8,42,5174,31
7,9,43,6581,34
7,10,45,8122,40
7,11,44,6469,37
7,12,43,6196,37
7,13,44,8757,38
7,14,40,3067,21
7,15,41,4125,29
7,16,42,5902,34
7,17,44,8447,39
7,18,43,9917,42
7,19,41,4353,32
7,20,43,6505,35
8,1,51,8497,39
8,2,50,6688,44
8,3,54,9173,44
8,4,49,5881,39
8,5,48,7,1
8,6,52,9335,49
8,7,52,9277,45
8,8,51,8268,39
8,9,51,9042,47
8,10,51,9197,43
