Group,Case,Move,Time,Iteration
1,1,14,2,13
1,2,9,1,8
1,3,2,0,1
1,4,7,1,6
1,5,5,0,4
1,6,8,0,4
1,7,8,0,6
1,8,6,0,4
1,9,11,1,10
1,10,12,1,11
1,11,8,1,6
1,12,11,1,9
1,13,11,1,9
1,14,11,1,8
1,15,9,1,8
1,16,9,1,8
1,17,8,1,4
1,18,7,1,6
1,19,14,2,13
1,20,15,2,14
1,21,15,2,13
1,22,12,1,10
1,23,9,1,6
1,24,12,1,10
1,25,9,1,8
1,26,5,0,3
1,27,8,1,5
1,28,12,1,10
1,29,12,1,11
1,30,10,1,9
1,31,9,1,7
1,32,5,0,4
1,33,7,1,5
1,34,11,1,10
1,35,8,1,5
1,36,9,1,6
1,37,8,1,4
1,38,10,1,7
1,39,0,0,0
1,40,10,2,8
2,1,10,1,7
2,2,7,1,6
2,3,13,2,10
2,4,6,0,4
2,5,11,1,7
2,6,13,2,10
2,7,15,3,14
2,8,9,1,6
2,9,7,1,6
2,10,15,4,13
2,11,11,2,10
2,12,8,1,7
2,13,5,1,4
2,14,8,1,7
2,15,10,1,9
2,16,12,2,10
2,17,7,1,5
2,18,9,1,8
2,19,9,1,4
2,20,8,1,7
2,21,11,2,5
2,22,11,0,8
2,23,7,0,5
2,24,11,1,10
2,25,8,1,4
2,26,8,1,6
2,27,5,1,4
2,28,10,1,4
2,29,14,2,12
2,30,11,1,7
2,31,9,1,5
2,32,8,0,4
2,33,12,2,10
2,34,9,1,5
2,35,9,2,7
2,36,10,1,4
2,37,8,1,5
2,38,7,2,4
2,39,7,1,4
2,40,8,1,5
3,1,10,3,5
3,2,12,4,8
3,3,11,3,9
3,4,6,0,3
3,5,14,7,8
3,6,14,5,7
3,7,7,0,3
3,8,14,6,13
3,9,14,7,13
3,10,9,2,7
3,11,15,4,12
3,12,12,1,6
3,13,17,10,15
3,14,7,1,5
3,15,13,2,6
3,16,9,1,3
3,17,12,2,7
3,18,8,2,7
3,19,10,1,4
3,20,13,1,7
3,21,9,1,5
3,22,10,2,6
3,23,10,3,9
3,24,11,5,10
3,25,9,5,8
3,26,10,1,6
3,27,10,1,3
3,28,10,1,6
3,29,12,2,7
3,30,7,1,4
3,31,13,2,8
3,32,9,2,7
3,33,10,5,9
3,34,8,2,6
3,35,10,3,7
3,36,10,3,6
3,37,15,4,10
3,38,5,1,3
3,39,9,2,8
3,40,11,7,10
4,1,13,7,11
4,2,10,4,7
4,3,12,4,7
4,4,10,5,9
4,5,7,1,4
4,6,14,7,11
4,7,16,12,14
4,8,13,6,9
4,9,12,6,8
4,10,9,10,5
4,11,4,0,0
