Group,Case,Move,Time,Iteration
1,1,12,6,10
1,2,8,3,6
1,3,2,0,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,6
1,7,8,2,6
1,8,6,1,5
1,9,10,3,9
1,10,12,7,11
1,11,7,2,6
1,12,10,4,8
1,13,11,4,10
1,14,11,4,9
1,15,9,3,8
1,16,9,3,8
1,17,8,1,4
1,18,7,2,6
1,19,14,7,13
1,20,15,9,14
1,21,15,9,14
1,22,12,11,11
1,23,9,2,7
1,24,12,4,10
1,25,9,5,8
1,26,5,0,3
1,27,8,2,6
1,28,12,9,11
1,29,12,6,11
1,30,10,4,9
1,31,8,1,6
1,32,5,1,4
1,33,7,3,6
1,34,11,6,10
1,35,8,2,5
1,36,9,1,7
1,37,8,1,5
1,38,10,4,7
1,39,0,0,0
1,40,10,5,9
2,1,10,11,8
2,2,7,3,6
2,3,13,15,12
2,4,6,1,4
2,5,10,6,6
2,6,12,13,11
2,7,14,16,13
2,8,9,3,6
2,9,7,2,6
2,10,14,14,12
2,11,10,2,5
2,12,8,5,7
2,13,5,1,4
2,14,8,3,7
2,15,10,9,9
2,16,11,6,9
2,17,7,3,5
2,18,9,4,8
2,19,9,4,5
2,20,8,3,7
2,21,11,5,6
2,22,11,2,8
2,23,7,1,5
2,24,11,7,10
2,25,8,0,4
2,26,8,5,7
2,27,5,2,4
2,28,10,4,9
2,29,13,17,12
2,30,11,4,8
2,31,8,3,6
2,32,8,2,4
2,33,12,12,11
2,34,9,2,5
2,35,9,4,7
2,36,10,3,5
2,37,8,2,5
2,38,7,4,4
2,39,7,2,4
2,40,8,3,5
3,1,10,10,6
3,2,12,23,11
3,3,11,8,9
3,4,6,1,3
3,5,14,25,11
3,6,13,24,12
3,7,7,2,3
3,8,14,45,13
3,9,12,19,10
3,10,9,6,7
3,11,15,26,13
3,12,12,4,7
3,13,15,37,13
3,14,7,9,5
3,15,13,30,7
3,16,9,4,5
3,17,12,28,8
3,18,8,7,7
3,19,10,4,5
3,20,13,12,12
3,21,9,8,7
3,22,9,8,6
3,23,10,14,9
3,24,10,19,5
3,25,9,12,8
3,26,10,4,6
3,27,10,9,7
3,28,10,9,6
3,29,11,9,7
3,30,7,4,5
3,31,13,12,8
3,32,8,5,7
3,33,10,13,9
3,34,8,3,6
3,35,10,7,7
3,36,10,9,8
3,37,15,25,13
3,38,5,2,4
3,39,9,10,8
3,40,9,13,8
4,1,13,52,12
4,2,9,13,5
4,3,12,32,8
4,4,9,23,5
4,5,7,2,4
4,6,13,28,10
4,7,15,46,11
4,8,13,13,9
4,9,12,21,9
4,10,9,17,5
4,11,4,0,0
4,12,11,20,10
4,13,10,10,7
4,14,11,15,6
4,15,11,26,10
4,16,15,43,7
4,17,13,11,6
4,18,11,30,10
4,19,12,17,10
4,20,10,16,7
4,21,15,40,12
4,22,12,58,9
4,23,14,50,11
