Group,Case,Move,Time,Iteration
1,1,13,3,12
1,2,8,1,5
1,3,2,0,1
1,4,7,1,6
1,5,5,0,4
1,6,8,0,4
1,7,8,1,6
1,8,6,0,4
1,9,10,1,9
1,10,12,2,11
1,11,8,1,6
1,12,10,2,8
1,13,11,3,10
1,14,11,2,8
1,15,9,1,8
1,16,9,1,8
1,17,8,1,4
1,18,7,1,6
1,19,14,2,13
1,20,15,3,14
1,21,15,5,14
1,22,12,4,11
1,23,9,1,7
1,24,12,1,10
1,25,9,2,8
1,26,5,0,3
1,27,8,1,5
1,28,12,3,11
1,29,12,2,11
1,30,10,2,9
1,31,8,1,5
1,32,5,1,4
1,33,7,1,6
1,34,11,2,10
1,35,8,2,5
1,36,9,1,6
1,37,8,1,4
1,38,10,1,7
1,39,0,0,0
1,40,10,2,9
2,1,10,2,7
2,2,7,2,6
2,3,13,4,10
2,4,6,1,4
2,5,10,4,6
2,6,13,8,12
2,7,15,9,14
2,8,9,2,6
2,9,7,1,6
2,10,14,7,12
2,11,11,4,10
2,12,8,3,7
2,13,5,0,4
2,14,8,1,7
2,15,10,3,9
2,16,12,3,10
2,17,7,2,5
2,18,9,3,8
2,19,9,3,5
2,20,8,3,7
2,21,11,3,6
2,22,11,2,8
2,23,7,1,5
2,24,11,4,10
2,25,8,0,4
2,26,8,2,7
2,27,5,1,4
2,28,10,2,4
2,29,14,5,12
2,30,11,2,7
2,31,9,3,7
2,32,8,2,4
2,33,12,7,10
2,34,9,2,5
2,35,9,1,7
2,36,10,1,4
2,37,8,1,5
2,38,7,1,4
2,39,7,0,4
2,40,8,3,5
3,1,10,3,5
3,2,12,5,9
3,3,11,5,9
3,4,6,1,3
3,5,14,12,10
3,6,14,5,7
3,7,7,1,3
3,8,14,16,13
3,9,14,10,13
3,10,9,12,7
3,11,15,7,12
3,12,12,2,6
3,13,15,9,13
3,14,7,5,5
3,15,13,10,6
3,16,9,3,3
3,17,12,7,9
3,18,8,8,7
3,19,10,3,5
3,20,13,9,9
3,21,9,4,5
3,22,10,3,6
3,23,10,5,9
3,24,10,7,5
3,25,9,7,8
3,26,10,4,6
3,27,10,2,4
3,28,10,3,6
3,29,12,4,8
3,30,7,5,4
3,31,13,5,8
3,32,8,3,7
3,33,10,4,9
3,34,8,2,6
3,35,10,4,7
3,36,10,6,6
3,37,15,12,13
3,38,5,1,4
3,39,9,7,8
3,40,9,3,8
4,1,13,12,11
4,2,10,5,7
4,3,12,8,7
4,4,10,16,9
4,5,7,3,4
4,6,13,17,10
4,7,16,20,15
4,8,13,10,9
4,9,12,8,8
4,10,9,6,5
4,11,4,0,0
4,12,11,6,8
4,13,10,8,7
4,14,12,10,6
4,15,11,8,10
4,16,15,14,7
4,17,14,9,9
4,18,12,11,11
4,19,12,9,7
4,20,10,9,5
4,21,15,19,9
4,22,13,14,10
4,23,15,10,10
4,24,15,29,8
4,25,9,3,6
4,26,17,29,16
4,27,13,9,7
4,28,9,8,6
4,29,10,7,8
4,30,13,13,11
4,31,11,5,6
4,32,10,7,7
4,33,12,11,8
4,34,12,24,11
4,35,7,4,5
4,36,11,17,10
4,37,11,10,8
4,38,13,21,10
4,39,12,7,7
4,40,11,7,10
5,1,9,4,6
5,2,13,7,8
5,3,14,30,13
5,4,13,15,7
5,5,15,23,8
5,6,14,21,8
5,7,17,59,15
5,8,12,19,11
5,9,13,16,9
5,10,11,16,6
5,11,12,11,7
5,12,13,36,10
5,13,11,4,4
5,14,14,23,9
5,15,10,16,7
5,16,13,23,8
5,17,16,34,12
5,18,13,20,12
5,19,15,33,12
5,20,12,34,11
5,21,13,16,11
5,22,18,33,12
5,23,11,5,6
5,24,8,11,6
5,25,13,21,11
5,26,14,10,4
5,27,16,17,10
5,28,14,46,13
5,29,17,37,13
5,30,15,36,14
5,31,10,24,7
5,32,11,16,9
5,33,16,21,9
5,34,11,16,7
5,35,16,37,11
5,36,11,12,8
5,37,11,2,3
5,38,14,33,12
5,39,9,3,6
5,40,13,7,8
6,1,10,20,5
6,2,14,27,10
6,3,15,22,8
6,4,15,49,12
6,5,17,50,12
6,6,10,9,6
6,7,19,76,15
6,8,16,46,13
6,9,12,19,9
6,10,16,25,8
6,11,12,12,6
6,12,14,16,9
6,13,15,23,11
6,14,15,45,13
6,15,11,23,9
6,16,13,18,6
6,17,13,45,12
6,18,11,10,5
6,19,15,57,11
6,20,15,36,11
6,21,15,58,11
6,22,13,51,10
6,23,12,7,6
6,24,13,32,6
6,25,14,36,7
6,26,18,38,10
6,27,8,17,7
6,28,15,31,11
6,29,17,41,10
6,30,13,32,11
6,31,14,24,10
6,32,15,27,12
6,33,12,7,7
6,34,13,25,9
6,35,17,46,15
6,36,14,29,9
6,37,12,32,9
6,38,18,75,13
6,39,12,5,5
6,40,15,26,7
7,1,13,7,11
7,2,17,13,16
7,3,22,18,20
7,4,15,9,11
7,5,18,11,17
7,6,10,5,8
7,7,21,11,17
7,8,17,12,15
7,9,7,2,4
7,10,16,7,14
7,11,11,5,9
7,12,19,12,18
7,13,23,15,20
7,14,20,16,18
7,15,15,7,12
7,16,24,21,23
7,17,11,4,5
7,18,21,16,19
7,19,20,12,15
7,20,19,9,12
7,21,17,7,14
7,22,13,8,12
7,23,23,14,20
7,24,19,13,18
7,25,23,26,22
7,26,18,13,17
7,27,23,20,22
7,28,17,12,16
7,29,18,16,16
7,30,18,13,16
7,31,18,6,14
7,32,16,12,14
7,33,21,25,19
7,34,16,8,15
7,35,23,16,21
7,36,17,10,15
7,37,16,7,15
7,38,18,12,17
7,39,16,9,13
7,40,16,10,13
8,1,19,18,12
8,2,20,24,19
8,3,21,23,14
8,4,12,12,11
8,5,18,20,14
8,6,19,20,17
8,7,15,17,14
8,8,22,21,21
8,9,20,11,9
8,10,16,13,15
8,11,15,5,6
8,12,18,25,17
8,13,15,11,14
8,14,21,27,20
8,15,23,35,20
8,16,13,10,11
8,17,23,25,14
8,18,18,21,17
8,19,18,20,12
8,20,20,29,19
8,21,20,24,17
8,22,23,35,20
8,23,22,38,21
8,24,18,32,17
8,25,21,30,20
8,26,21,22,15
8,27,17,19,15
8,28,16,15,9
8,29,22,40,21
8,30,22,25,17
8,31,21,25,16
8,32,24,29,14
8,33,19,22,17
8,34,23,34,22
8,35,17,18,12
8,36,13,9,12
8,37,17,24,16
8,38,18,14,13
8,39,22,35,20
8,40,19,29,18
9,1,23,60,19
9,2,13,14,6
9,3,22,42,13
9,4,23,45,18
9,5,19,43,18
9,6,22,52,21
9,7,25,64,20
9,8,17,28,13
9,9,20,52,19
9,10,22,48,14
9,11,20,60,17
9,12,24,66,23
9,13,16,49,13
9,14,18,32,12
9,15,23,54,20
9,16,18,47,17
9,17,20,72,19
9,18,27,87,23
9,19,23,45,16
9,20,21,58,20
9,21,23,42,14
9,22,11,12,7
9,23,13,16,9
9,24,25,76,23
9,25,23,66,21
9,26,17,16,11
9,27,19,22,11
9,28,26,88,25
9,29,19,51,18
9,30,20,46,18
9,31,15,35,13
9,32,22,50,16
9,33,19,57,17
9,34,26,79,25
9,35,23,55,19
9,36,24,74,22
9,37,23,65,22
9,38,16,23,11
9,39,18,49,16
9,40,25,63,23
10,1,22,71,14
10,2,24,106,22
10,3,17,52,15
10,4,25,124,23
10,5,24,104,20
10,6,28,92,20
10,7,27,103,19
10,8,21,80,14
10,9,21,71,16
10,10,25,137,22
10,11,25,100,19
10,12,28,124,19
10,13,21,88,17
10,14,26,77,15
10,15,24,103,20
10,16,15,57,14
10,17,21,84,19
10,18,23,65,14
10,19,23,98,22
10,20,25,108,24
10,21,25,105,23
10,22,27,151,26
10,23,17,37,12
10,24,22,83,15
10,25,23,53,14
10,26,24,103,21
10,27,26,120,22
10,28,28,121,19
10,29,21,71,15
10,30,21,83,19
10,31,24,119,22
10,32,24,119,23
10,33,24,68,13
10,34,22,50,16
10,35,27,147,26
10,36,22,77,21
10,37,25,117,23
10,38,19,49,13
10,39,23,85,18
10,40,23,74,16
11,1,26,30,22
11,2,31,38,29
11,3,29,31,28
11,4,31,36,30
11,5,29,33,24
11,6,21,23,18
11,7,25,30,24
11,8,27,30,25
11,9,30,31,27
11,10,19,11,12
11,11,19,18,18
11,12,33,34,28
11,13,27,29,25
11,14,35,40,34
11,15,28,30,26
11,16,26,23,21
