Group,Case,Move,Time,Iteration
1,1,13,8,12
1,2,8,1,5
1,3,2,0,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,6
1,7,8,1,6
1,8,6,1,5
1,9,10,3,9
1,10,12,5,11
1,11,8,2,7
1,12,10,3,8
1,13,11,3,10
1,14,11,2,8
1,15,9,2,8
1,16,9,2,8
1,17,8,1,4
1,18,7,1,6
1,19,14,7,13
1,20,15,6,14
1,21,15,5,14
1,22,12,4,11
1,23,9,2,7
1,24,12,2,10
1,25,9,3,8
1,26,5,0,3
1,27,8,2,6
1,28,12,6,11
1,29,12,4,11
1,30,10,3,9
1,31,8,1,6
1,32,5,0,4
1,33,7,2,6
1,34,11,5,10
1,35,8,2,5
1,36,9,2,7
1,37,8,1,4
1,38,10,3,7
1,39,0,0,0
1,40,10,4,9
2,1,10,9,8
2,2,7,3,6
2,3,13,13,12
2,4,6,1,4
2,5,10,9,6
2,6,13,20,12
2,7,14,16,13
2,8,9,3,6
2,9,7,1,6
2,10,14,11,12
2,11,10,3,4
2,12,8,2,7
2,13,5,1,4
2,14,8,2,7
2,15,10,4,9
2,16,11,3,9
2,17,7,4,5
2,18,9,4,8
2,19,9,3,5
2,20,8,3,7
2,21,11,5,6
2,22,11,2,8
2,23,7,2,5
2,24,11,8,10
2,25,8,1,4
2,26,8,6,7
2,27,5,1,4
2,28,10,4,9
2,29,14,17,13
2,30,11,5,8
2,31,9,5,8
2,32,8,2,4
2,33,12,10,11
2,34,9,1,5
2,35,9,3,7
2,36,10,3,5
2,37,8,3,5
2,38,7,3,4
2,39,7,2,4
2,40,8,5,5
3,1,10,10,6
3,2,12,13,11
3,3,11,6,9
3,4,6,0,3
3,5,14,17,11
3,6,13,17,12
3,7,7,2,3
3,8,14,27,13
3,9,12,17,10
3,10,9,4,7
3,11,15,20,13
3,12,12,6,7
3,13,15,22,13
3,14,7,8,5
3,15,13,14,7
3,16,9,4,5
3,17,12,14,8
3,18,8,6,7
3,19,10,3,5
3,20,13,10,12
3,21,9,6,7
3,22,10,7,7
3,23,10,12,9
3,24,10,9,5
3,25,9,8,8
3,26,10,4,6
3,27,10,4,7
3,28,10,5,6
3,29,12,8,8
3,30,7,4,5
3,31,13,10,8
3,32,8,4,7
3,33,10,10,9
3,34,8,3,6
3,35,10,7,7
3,36,10,8,8
3,37,15,26,13
3,38,5,1,4
3,39,9,9,8
3,40,9,7,8
4,1,13,41,12
4,2,10,11,8
4,3,12,19,8
4,4,9,7,5
4,5,7,4,4
4,6,13,30,10
4,7,15,38,11
4,8,13,11,9
4,9,12,18,9
4,10,9,9,5
