Group,Case,Move,Time,Iteration
1,1,15,33,14
1,2,9,12,8
1,3,2,0,1
1,4,7,5,6
1,5,5,1,3
1,6,8,2,4
1,7,8,2,5
1,8,6,1,4
1,9,12,6,10
1,10,12,7,10
1,11,8,3,5
1,12,11,5,9
1,13,11,4,8
1,14,11,4,8
1,15,10,2,8
1,16,9,2,8
1,17,8,2,4
1,18,7,1,6
1,19,14,4,12
1,20,15,5,14
1,21,15,5,13
1,22,12,3,10
1,23,9,2,5
1,24,12,2,10
1,25,9,3,8
1,26,5,0,3
1,27,8,2,5
1,28,12,3,10
1,29,14,5,13
1,30,10,3,9
1,31,8,2,5
1,32,5,1,3
1,33,7,1,5
1,34,12,2,11
1,35,8,1,5
1,36,10,2,7
1,37,8,1,4
1,38,10,2,7
1,39,0,0,0
1,40,10,2,8
2,1,10,2,7
2,2,7,1,6
2,3,14,3,10
2,4,6,1,3
2,5,11,3,7
2,6,12,3,10
2,7,14,3,10
2,8,9,2,6
2,9,7,1,5
2,10,15,3,10
2,11,11,1,4
2,12,8,3,7
2,13,5,1,4
2,14,8,1,7
2,15,10,2,9
2,16,12,2,10
2,17,7,1,5
2,18,9,12,8
2,19,9,2,4
2,20,8,1,7
2,21,11,1,5
2,22,11,1,8
2,23,7,1,3
2,24,12,2,9
2,25,8,0,4
2,26,8,2,6
2,27,5,0,3
2,28,10,1,4
2,29,14,3,10
2,30,11,1,7
2,31,9,1,5
2,32,8,1,4
2,33,12,2,10
2,34,9,1,5
2,35,9,1,7
2,36,10,1,4
2,37,9,2,6
2,38,7,0,4
2,39,7,1,3
2,40,8,1,5
3,1,11,5,9
3,2,12,2,6
3,3,11,1,5
3,4,6,0,3
3,5,15,4,13
3,6,15,6,11
3,7,7,2,3
3,8,14,6,13
3,9,14,19,13
3,10,9,1,7
3,11,15,4,12
3,12,12,1,6
3,13,17,6,14
3,14,7,2,5
3,15,13,3,6
3,16,9,1,3
3,17,12,2,7
3,18,9,4,8
3,19,10,1,4
3,20,13,2,7
3,21,9,1,5
3,22,11,1,6
3,23,10,1,7
3,24,11,2,8
3,25,9,2,8
3,26,10,1,5
3,27,10,0,3
3,28,10,1,6
3,29,12,2,7
3,30,7,1,4
3,31,13,1,7
3,32,9,2,7
3,33,10,2,5
3,34,8,2,5
3,35,10,2,7
3,36,10,3,6
3,37,15,3,10
3,38,5,0,2
3,39,9,2,7
3,40,11,3,10
4,1,13,5,11
4,2,10,3,7
4,3,12,4,7
4,4,10,4,5
4,5,7,1,3
4,6,14,6,12
4,7,17,7,13
4,8,13,2,9
4,9,12,3,8
4,10,9,2,5
4,11,4,0,0
4,12,11,2,5
4,13,10,2,6
4,14,12,6,8
4,15,11,3,9
4,16,16,5,10
4,17,15,6,10
4,18,12,4,10
4,19,13,4,9
4,20,10,3,5
4,21,16,4,9
4,22,13,5,9
4,23,15,3,8
4,24,16,4,9
4,25,9,1,3
4,26,18,9,16
4,27,14,5,12
4,28,9,1,5
4,29,10,2,6
4,30,13,4,11
4,31,11,1,5
4,32,10,2,7
4,33,12,3,8
4,34,12,4,10
4,35,7,0,5
4,36,11,4,8
4,37,11,3,7
4,38,14,3,7
4,39,12,3,7
4,40,12,4,11
5,1,9,2,5
5,2,13,5,8
5,3,15,9,9
5,4,13,4,5
5,5,16,9,11
