Group,Case,Move,Time,Iteration
1,1,13,5,12
1,2,8,1,5
1,3,2,1,1
1,4,7,1,6
1,5,4,0,3
1,6,8,1,4
1,7,8,1,6
1,8,6,1,4
1,9,10,2,9
1,10,12,2,11
1,11,8,1,6
1,12,10,1,8
1,13,11,2,10
1,14,11,1,8
1,15,9,1,8
1,16,9,1,8
1,17,8,1,4
1,18,7,1,6
1,19,14,3,13
1,20,15,3,14
1,21,15,3,14
1,22,12,3,11
1,23,9,2,7
1,24,12,3,10
1,25,9,2,8
1,26,5,0,3
1,27,8,1,5
1,28,12,2,11
1,29,12,4,11
1,30,10,3,9
1,31,8,2,5
1,32,5,0,4
1,33,7,3,6
1,34,11,4,10
1,35,8,1,5
1,36,9,2,6
1,37,8,1,4
1,38,10,2,7
1,39,0,0,0
1,40,10,3,9
2,1,10,4,8
2,2,7,2,6
2,3,13,7,10
2,4,6,1,4
2,5,10,3,6
2,6,13,9,12
2,7,15,20,14
2,8,9,1,6
2,9,7,1,6
2,10,14,8,12
2,11,11,3,10
2,12,8,2,7
2,13,5,0,4
2,14,8,1,7
2,15,10,3,9
2,16,12,8,10
2,17,7,2,5
2,18,9,2,8
2,19,9,2,5
2,20,8,3,7
2,21,11,3,6
2,22,11,1,8
2,23,7,0,5
2,24,11,4,10
2,25,8,0,4
2,26,8,3,7
2,27,5,1,4
2,28,10,2,9
2,29,14,8,13
2,30,11,2,7
2,31,9,2,7
2,32,8,2,4
2,33,12,8,10
2,34,9,1,5
2,35,9,2,7
2,36,10,3,4
2,37,8,2,5
2,38,7,2,4
2,39,7,1,4
2,40,8,2,5
3,1,10,5,6
3,2,12,7,9
3,3,11,4,9
3,4,6,1,3
3,5,14,12,10
3,6,14,8,7
3,7,7,2,3
3,8,14,24,13
3,9,12,7,10
3,10,9,3,7
3,11,15,19,13
3,12,12,5,6
3,13,15,15,13
3,14,7,7,5
3,15,13,14,7
3,16,9,4,5
3,17,12,10,9
3,18,8,10,7
3,19,10,4,5
3,20,13,8,9
3,21,9,3,6
3,22,10,4,6
3,23,10,6,9
3,24,10,10,5
3,25,9,6,8
3,26,10,2,6
3,27,10,3,7
3,28,10,4,6
3,29,12,5,8
3,30,7,3,4
3,31,13,6,8
3,32,8,3,7
3,33,10,7,9
3,34,8,2,6
3,35,10,5,7
3,36,10,4,6
3,37,15,11,12
3,38,5,1,4
3,39,9,6,8
3,40,9,5,8
4,1,13,24,12
4,2,10,19,7
4,3,12,12,8
4,4,9,6,5
4,5,7,2,4
4,6,13,15,10
4,7,16,25,14
4,8,13,7,9
4,9,12,11,8
4,10,9,5,5
4,11,4,0,0
4,12,11,13,10
4,13,10,7,7
4,14,11,9,5
4,15,11,15,10
4,16,15,18,7
4,17,14,14,9
4,18,11,13,9
4,19,12,10,10
4,20,10,10,5
4,21,15,17,9
4,22,12,27,9
4,23,14,19,9
4,24,15,20,8
4,25,9,3,6
4,26,17,31,15
4,27,13,11,7
4,28,9,7,6
4,29,10,8,8
4,30,13,17,11
4,31,11,10,6
4,32,10,9,7
4,33,12,25,8
4,34,12,18,11
4,35,7,3,5
4,36,11,16,10
4,37,11,18,8
4,38,13,23,10
4,39,12,10,7
4,40,11,11,10
5,1,9,9,6
5,2,13,8,8
5,3,14,45,13
5,4,13,28,8
5,5,15,35,8
5,6,14,22,8
5,7,17,76,16
5,8,12,22,11
5,9,13,21,9
5,10,11,24,9
5,11,12,14,7
5,12,13,47,10
5,13,11,5,4
5,14,14,23,9
5,15,10,9,7
5,16,13,38,8
5,17,16,45,12
5,18,13,26,12
5,19,15,56,13
5,20,12,49,11
5,21,13,16,11
5,22,18,39,12
5,23,11,6,6
5,24,8,13,6
5,25,13,38,11
5,26,14,18,4
5,27,16,26,10
5,28,14,60,13
5,29,17,43,12
5,30,15,35,14
5,31,10,21,7
5,32,11,41,9
5,33,16,45,10
5,34,11,21,7
5,35,16,37,12
5,36,10,11,7
5,37,11,2,3
5,38,14,34,12
5,39,9,4,6
5,40,13,10,8
6,1,10,21,5
6,2,14,37,10
6,3,15,29,8
6,4,15,55,12
6,5,16,44,11
6,6,10,5,6
6,7,19,116,18
6,8,16,56,14
6,9,12,27,9
6,10,16,34,9
6,11,12,15,6
6,12,14,26,9
6,13,15,29,11
6,14,15,69,13
6,15,12,22,6
6,16,12,46,8
6,17,13,50,12
6,18,11,18,6
6,19,15,96,13
6,20,16,37,11
6,21,15,84,13
6,22,13,67,10
6,23,12,8,6
6,24,13,30,6
6,25,14,46,7
6,26,18,58,11
6,27,8,20,7
6,28,15,43,11
6,29,17,46,10
6,30,13,63,11
6,31,14,42,10
6,32,14,23,7
6,33,12,7,7
6,34,13,34,9
6,35,17,75,15
6,36,13,45,9
6,37,12,47,9
6,38,18,104,13
6,39,12,5,6
6,40,15,37,7
7,1,13,11,11
7,2,17,15,16
7,3,22,22,21
7,4,15,10,13
7,5,18,15,17
7,6,10,7,8
7,7,20,15,18
7,8,17,17,16
7,9,7,3,4
7,10,16,9,14
7,11,11,7,9
7,12,19,19,18
7,13,22,32,21
7,14,18,19,17
7,15,14,15,12
7,16,23,25,22
7,17,11,4,5
7,18,21,19,19
7,19,20,18,15
7,20,20,15,15
7,21,17,11,14
7,22,13,10,12
7,23,23,26,22
7,24,19,19,18
7,25,23,25,22
7,26,18,19,17
7,27,22,27,20
7,28,17,18,16
7,29,17,17,15
7,30,19,20,17
7,31,18,9,14
7,32,16,11,14
7,33,21,24,20
7,34,16,13,15
7,35,23,24,21
7,36,17,23,15
7,37,16,10,15
7,38,18,19,17
7,39,16,13,13
7,40,16,25,13
8,1,19,26,12
8,2,20,39,19
8,3,21,50,14
8,4,12,16,11
8,5,18,28,14
8,6,18,23,15
8,7,15,28,14
8,8,22,31,21
8,9,20,19,9
8,10,16,34,15
8,11,15,7,6
8,12,18,34,17
8,13,15,14,14
8,14,21,39,20
8,15,23,56,22
8,16,13,14,11
8,17,23,45,22
8,18,18,30,17
8,19,18,27,12
8,20,20,41,19
8,21,20,37,17
8,22,22,47,18
8,23,22,67,21
8,24,17,27,15
8,25,21,46,20
8,26,21,34,15
8,27,17,27,15
8,28,16,21,9
8,29,22,50,21
8,30,22,36,17
8,31,21,40,20
8,32,24,39,16
8,33,19,32,17
8,34,23,49,22
8,35,17,25,12
8,36,13,13,12
8,37,17,32,16
8,38,18,25,13
8,39,21,44,20
8,40,19,43,18
9,1,23,102,19
